stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,29,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,204.39,0.82,0,0,0.82,0.82,0,0.82,29.55,0,0,0,0,0.82,4.1,0,0,0,0
 36-46,0,0.81,0,0,161.94,0.81,0,0.81,0,1.61,0,0,14.5,0,0,0,0,0,4.83,0,0.81,0,0.81
 48-58,0,0,0,0,123.94,0,0,0,0,0.57,0,0,9.75,0,0,0,0,0,1.72,0,1.15,0,0.57
 60-70,0,0,0,0,105.02,1.96,0,0,0,2.94,0,0,5.89,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0.98,0,0,84.42,2.94,0,0,0,2.94,0,0,2.94,0,0.98,0,0,0,0.98,0,0,0,0
 84-94,0,2.12,1.06,0,93.46,0,1.06,1.06,0,2.12,0,0,2.12,0,0,0,0,0,0,1.06,0,0,1.06
 96-106,0,3.28,0,1.09,103.82,0,1.09,0,0,3.28,1.09,0,2.19,0,4.37,0,2.19,0,0,0,0,0,0
108-118,0,0.77,1.53,0,95.75,0.77,0,0.77,0,1.53,0,0.77,4.6,0.77,0,0,0,0,0,0,0,0.77,0
120,0,0,1.96,0,88.19,0,1.96,0,0,3.92,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0
