stage,axial,blastomeres,eye,fast_muscle,fin_mesenchyme,gut,immune,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,8,1,106,0,1
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,3.28,0.82,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0.81,0.81,0,0,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,0,0.57,0,4.02,3.44,0,0,0,0,0.57,0.57
 60-70,0,0,0.98,1.96,0,0,0,1.96,0,7.85,0.98,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,0,0.98,0.98,0.98,8.83,12.76,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,1.06,2.12,1.06,0,7.43,4.25,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,1.09,0,1.09,0,12.02,5.46,0,0,0,0,0,0
108-118,0,0,0.77,0,0,1.53,1.53,5.36,0,3.83,10.72,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,9.8,9.8,0,0,0,0,0,0
