stage,axial,blastomeres,epidermis,erythrocytes,eye,heart,immune,melanocytes,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,6.29,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,5.75,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0.81,0,0,0.81,0.81,0,4.03,0,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,0.57,0.57,0,1.72,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,1.96,0,0.98,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0.98,0.98,0,0,0,0.98,8.83,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,1.06,3.19,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,1.09,0,1.09
108-118,0,0,0.77,0,0,0,0,0,1.53,0,2.3,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
