stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,6.29,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,269,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,12,4,0,17,32,0,2,1,0,0,0,0,2,3,26,0,0,0,0,0
 24-34,0.82,0.82,392.37,0,0,2.46,0,27.91,0,9.03,3.28,0.82,0,0.82,0,0,0.82,0,35.3,4.93,0,29.55,256.11,1.64,18.06,4.1,0,0,2.46,0,1.64,1.64,109.17,0,0,0,0,0
 36-46,0,0.81,124.07,0,0,14.5,0,22.56,0,33.84,0,1.61,0,0,0,0.81,0,0,62.84,0,0,25.78,547.86,0,38.67,5.64,0,0,2.42,1.61,0,0,184.5,0,0.81,0.81,0,0.81
 48-58,0,0,49.92,0,0,36.72,1.15,20.08,7.46,44.18,0,1.72,0,0,0,0,0,0,113.61,1.15,2.3,21.23,899.73,1.15,18.94,5.16,0,1.15,3.44,1.15,0.57,0,218.62,0,1.15,0.57,0.57,0.57
 60-70,0.98,0,37.3,0,0,175.69,0,20.61,8.83,60.85,0,3.93,5.89,0,0.98,0.98,0.98,0,214.95,0,3.93,32.39,2203.52,0.98,25.52,7.85,0,1.96,3.93,0.98,0.98,0,382.79,0,4.91,0,3.93,4.91
 72-82,4.91,0,59.88,0.98,0,339.65,0.98,15.71,32.39,147.25,3.93,1.96,2.94,3.93,1.96,1.96,0.98,0,392.66,0,25.52,41.23,2548.39,0,39.27,5.89,0,4.91,3.93,0.98,0,0,349.47,0.98,10.8,3.93,12.76,3.93
 84-94,0,1.06,56.29,1.06,0,362.15,3.19,30.8,22.3,124.26,2.12,5.31,0,1.06,4.25,3.19,1.06,0,282.5,0,26.55,22.3,1426.32,1.06,25.49,10.62,0,2.12,6.37,6.37,0,0,189.04,0,7.43,0,18.05,1.06
 96-106,6.56,1.09,69.94,4.37,1.09,285.23,2.19,24.04,14.21,131.14,6.56,0,1.09,1.09,6.56,4.37,1.09,0,320.2,5.46,21.86,30.6,1324.53,1.09,44.81,12.02,0,6.56,4.37,3.28,0,0,111.47,3.28,3.28,1.09,9.84,1.09
108-118,2.3,0,59.75,3.06,0,237.45,0.77,42.89,20.68,113.36,3.83,0.77,1.53,1.53,7.66,0,3.06,0,330.9,0.77,22.21,23.74,1465.29,0.77,23.74,9.96,0,7.66,3.83,0.77,0,0,78.89,0.77,2.3,1.53,8.43,3.06
120,0,0,64.67,1.96,0,286.13,1.96,23.52,13.72,97.99,3.92,1.96,3.92,3.92,1.96,1.96,3.92,1.96,331.2,0,13.72,9.8,1816.72,1.96,11.76,3.92,0,7.84,11.76,1.96,0,0,97.99,1.96,0,5.88,7.84,1.96
