stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,3.15,0,0,34.62,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,4,38,3,0,22,0,0,7,3,1,0,0,0,0,0,0,10,0,9,358,2,2,9,3,0,1,6,2,1,6,149,0,0,0,0,0
 24-34,0,0,1.64,5.75,0,0,8.21,0,0,8.21,0,0,0,0,0,0,1.64,0,4.1,0,0,448.19,0.82,3.28,5.75,0,0.82,2.46,0,0,0,0,108.35,0,0,0,0,0
 36-46,0,0,0,5.64,0.81,0,30.62,0,0,24.17,1.61,0.81,0,0,0,0,0,0,15.31,0,0.81,981.31,1.61,1.61,2.42,0,0,0,0,1.61,0,0,227.2,0,0,0,0,0.81
 48-58,0,0.57,0,2.87,0,0,61.4,0,0,17.21,0,0.57,0.57,0,0,0,2.3,0,9.75,1.15,1.72,758.57,0,3.44,0,0,0,1.72,0,0,0,0,123.37,0,0,1.15,0,1.15
 60-70,0,0,0,7.85,0,0,125.63,0,0.98,54.97,0,0,0,0,0,0.98,0,1.96,23.56,0.98,1.96,1276.96,0,0.98,4.91,0,0.98,0.98,0,1.96,0,0,177.66,0,0,0.98,0,2.94
 72-82,0,0,0,4.91,3.93,0,155.1,0,0,24.54,0,0,0,0,0,0.98,0,0,24.54,0,0,994.42,0,1.96,0.98,0,0,0.98,0,0,0,0,80.5,0.98,0,1.96,0,0
 84-94,0,2.12,0,9.56,0,0,101.96,1.06,0,32.92,0,1.06,2.12,1.06,1.06,0,0,0,20.18,1.06,2.12,596.87,0,2.12,6.37,0,1.06,3.19,0,0,0,0,39.3,4.25,1.06,2.12,0,0
 96-106,0,1.09,0,4.37,2.19,1.09,69.94,0,2.19,19.67,2.19,0,0,0,0,0,0,0,14.21,1.09,2.19,446.97,1.09,1.09,3.28,0,1.09,4.37,0,0,0,0,15.3,1.09,0,0,0,1.09
108-118,0,0.77,0,11.49,0.77,4.6,64.34,1.53,2.3,15.32,2.3,0,2.3,0,0,0.77,0.77,0,8.43,0.77,0,507.83,1.53,2.3,3.06,0,0,1.53,0,1.53,0,0,13.79,1.53,1.53,1.53,0.77,0
120,0,0,0,3.92,0,0,66.63,0,3.92,27.44,0,0,1.96,0,0,0,0,0,15.68,0,0,664.37,1.96,1.96,0,0,0,0,0,0,0,0,7.84,0,1.96,1.96,1.96,0
