stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,10.51,0,0,5.26,0,0,0,39.43,2.63,0,10.51,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,6.29,0,0,0,0,0,0,50.35,0,0,28.32,0,0,3.15,0,0,0
 14-21,0,0,0,3,1,3,1,0,0,0,1,0,24,0,0,1,1,3,1,1,6,0
 24-34,0,0,0,0.82,0,4.1,1.64,0,0,1.64,0.82,0.82,24.63,0,0.82,0,0,0,0,0,4.93,0.82
 36-46,0,0,0,0,0,3.22,0,0,0,0,0.81,0,9.67,0,0,0,1.61,0,0,0,1.61,0
 48-58,0,0,0,0,0,2.3,0,0,0.57,0,0.57,0,9.18,0,0.57,0,0.57,0,0,0,1.15,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,5.89,1.96,0,0,0,1.96,0,5.89,0,0,0,0.98,0,0,0,3.93,0
 84-94,0,0,0,0,0,5.31,0,0,0,0,1.06,0,2.12,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,1.09,0,5.46,1.09,1.09,0,1.09,0,2.19,3.28,0,1.09,0,2.19,0,0,0,0,0
108-118,0,0,0,0.77,0,0,1.53,0,0,0,1.53,0.77,3.83,0,0,0,1.53,0,0,0,0,0
120,0,0,0,3.92,0,5.88,0,0,0,0,3.92,0,5.88,0,0,0,0,0,0,0,0,0
