stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,olfactory,pericytes,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,4,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,0,21.34,0,0,0,0.82,3.28,0,0,0
 36-46,0,0,0.81,0,16.11,0,0.81,0,0,0,4.83,0.81,47.53,0,0,0.81,0,16.11,0,0,0
 48-58,0,0,1.15,0,13.2,0,1.72,0,0,0,4.59,0,30.99,0,0,0.57,0,10.33,0,0,0
 60-70,0,0,0,0,22.58,0,1.96,0,0,0.98,6.87,0,42.21,0,0.98,0,0,7.85,0,0,0
 72-82,0,0,0,0,8.83,0,0,0,0,0,3.93,0.98,20.61,1.96,0,0.98,0,0,0,0,0.98
 84-94,0,0,1.06,0,5.31,0,1.06,0,0,0,2.12,0,11.68,0,0,0,0,0,1.06,1.06,0
 96-106,0,1.09,2.19,1.09,2.19,0,0,2.19,0,0,0,0,3.28,0,0,0,0,0,1.09,0,0
108-118,0,0.77,0.77,0,2.3,0.77,0.77,0.77,0.77,0,0,0.77,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,9.8,0,0,0,0,0,0,0,0
