stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,1.64,0,1.64,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.94,0,0,0,4.93,0,0,1.64,0,0.82,0
 36-46,0,0,1.61,0,4.03,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,84.6,0,0,0,5.64,0,0,0,0,0,0
 48-58,0,0,17.79,0.57,3.44,2.87,0,0.57,0,0.57,0,0,0,0,0,0,2.87,1.72,0.57,0,68.28,0,0,0,14.92,0.57,0,4.59,0,0.57,0
 60-70,0,0,7.85,0,5.89,1.96,0,0.98,0.98,0.98,0,0.98,0.98,0,0,0,2.94,0.98,0,0,40.24,0,0,0,9.82,0,0,0,0.98,0,0
 72-82,0,0,11.78,0.98,6.87,3.93,0.98,0.98,0,0,0.98,0,1.96,0,0,0.98,4.91,0.98,0,0,57.92,0,0.98,0,10.8,0,0,0,0.98,0,0.98
 84-94,0,0,19.12,0,6.37,9.56,0,1.06,0,0,0,0,5.31,0,3.19,0,4.25,1.06,1.06,1.06,62.66,0,0,0,29.74,0,0,0,0,0,0
 96-106,0,0,44.81,0,1.09,5.46,1.09,2.19,3.28,0,0,0,5.46,0,1.09,4.37,3.28,1.09,0,0,42.62,0,0,0,44.81,0,0,0,0,0,1.09
108-118,0,0,28.34,0,3.06,11.49,0.77,0,0.77,0.77,0,1.53,4.6,0,0,0,2.3,3.06,0,0,30.64,0.77,0,0,49.02,0,0,0,1.53,0.77,0
120,0,0,35.28,0,3.92,7.84,0,0,0,0,0,0,0,0,1.96,0,5.88,0,0,0,33.32,0,1.96,0,23.52,0,0,0,0,0,3.92
