stage,epidermis,eye,glial,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,3,0,0,1,1,0
 24-34,0.82,1.64,0,0.82,0,0,0.82,14.78,0,0.82,0,1.64,0
 36-46,0,3.22,0,0,0,0,0,11.28,0,0.81,0,1.61,0.81
 48-58,0,4.02,0.57,0,1.15,0,0,4.59,0,0,0,0.57,0
 60-70,0.98,3.93,0,0,0,0,0,2.94,0.98,0,0,0,0
 72-82,0.98,0.98,0,0,1.96,0,0,3.93,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.06,0,0,3.06,0,0,0,0,0
120,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0
