stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.14,0,7.89,0,0,13.14,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,89.38,7.89,0,0,107.78,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,6.29,0,3.15,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,9.44,0,0,116.44,0,0,3.15,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,34,10,19,0,0,0,5,0,1,0,3,0,0,0,0,0,24,0,0,27,150,2,0,2,10,0,0,0,29,2,0,67,48,0,0,1,0,0
 24-34,0,0,0,4.1,18.88,3.28,22.16,0,1.64,4.93,7.39,0.82,0.82,1.64,1.64,2.46,0,0,0.82,0,56.64,0.82,0,30.37,183.87,1.64,0,1.64,0,0,0,0,0,1.64,0.82,11.49,41.04,0,0,6.57,0,3.28
 36-46,0,0,0,0,12.09,0.81,32.23,0,4.03,7.25,21.75,0.81,0,0,12.89,0,0,0.81,0,0,116.02,0.81,3.22,37.06,175.64,1.61,0.81,4.83,0,0,0,0,0,0,0,0,49.15,0,0,4.83,0,0
 48-58,0,0,0,0,8.61,0,24.67,0,2.87,11.48,28.12,0.57,0,1.72,4.02,0,1.15,1.72,0,0,121.65,0.57,4.02,19.51,43.04,1.72,0,2.87,0,0,0.57,0,0,0,0.57,0,26.97,0,0,1.72,0,2.3
 60-70,0,0,0,0,10.8,0.98,19.63,0,2.94,11.78,65.76,1.96,0,2.94,25.52,0,0,1.96,0.98,0,188.45,0,5.89,21.59,33.37,0.98,0,0,0,1.96,0.98,0,0,1.96,0,0,22.58,0,1.96,2.94,0,0.98
 72-82,0,0,0,0,13.74,1.96,18.65,0,1.96,11.78,65.77,3.93,0.98,3.93,12.76,0,1.96,1.96,0,0,197.31,0,8.83,19.63,34.36,0.98,0,6.87,0,0.98,0,0,0,0,0,0,3.93,0,3.93,9.82,2.94,2.94
 84-94,0,0,0,0,10.62,2.12,15.93,1.06,7.43,7.43,29.74,6.37,0,1.06,22.3,1.06,2.12,1.06,1.06,0,149.75,0,8.5,15.93,19.12,1.06,0,5.31,0,0,2.12,0,0,1.06,1.06,0,3.19,1.06,0,3.19,7.43,0
 96-106,0,0,1.09,0,25.14,3.28,16.39,1.09,6.56,5.46,54.64,15.3,0,5.46,24.04,0,2.19,6.56,2.19,1.09,121.31,1.09,6.56,10.93,28.41,2.19,1.09,14.21,0,3.28,0,0,0,1.09,1.09,0,4.37,0,2.19,8.74,9.84,0
108-118,0,0,0,0.77,32.17,1.53,13.02,0,12.26,4.6,29.87,22.98,0,0.77,40.6,0,1.53,2.3,1.53,0,90.38,0,5.36,9.96,24.51,0,1.53,12.26,0,0,3.06,0,0,3.06,0.77,0,0.77,0,2.3,7.66,3.06,2.3
120,0,0,0,0,27.44,0,15.68,0,9.8,3.92,37.24,11.76,0,0,41.16,0,0,3.92,3.92,0,86.23,0,3.92,7.84,23.52,0,0,7.84,0,0,0,0,0,0,0,0,3.92,0,0,1.96,3.92,1.96
