stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,13.14,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.56,10.51,0,0,105.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,12.59,0,0,94.41,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,17,4,0,8,0,0,0,9,1,0,1,0,0,0,1,0,0,6,0,0,91,146,3,0,3,4,0,1,38,0,3,334,64,0,0,1,0,0
 24-34,0,0,0,7.39,0.82,0,32.01,0.82,1.64,4.93,4.93,0.82,0.82,0.82,0,0.82,0,0,0,0,48.43,0,0.82,155.96,204.39,0.82,1.64,1.64,0,0,0,1.64,0,1.64,64.03,42.68,0,0,2.46,0,0
 36-46,0,0,0,1.61,0,0,49.15,0.81,0.81,8.06,12.09,0,0,0,0.81,0,0,2.42,0.81,0,115.21,0,0.81,69.29,257.81,1.61,4.03,2.42,0,0,4.83,0,1.61,1.61,0.81,68.48,0,0.81,4.03,0,0.81
 48-58,0,0,0,2.3,0,0,42.46,1.72,0.57,5.16,7.46,0.57,0,0.57,0,0,0,0,0,0,181.32,0,1.72,59.68,72.87,0.57,0.57,1.15,0,0,1.72,0,0,0,0,18.36,0,0,4.02,0,1.72
 60-70,0,0,0,2.94,1.96,0,87.36,2.94,0,6.87,21.59,0.98,0,0,0.98,0,0,0,0.98,0.98,470.15,0,0.98,42.21,98.15,0.98,2.94,1.96,0,0,2.94,0,0,0,0,24.54,0.98,1.96,2.94,0,0.98
 72-82,0,0,0,3.93,4.91,0,37.3,3.93,1.96,4.91,12.76,0.98,0,0,2.94,0.98,0.98,0,0.98,0,819.69,0.98,2.94,57.92,44.17,0,0,1.96,0,0,0.98,0,0,0,0,4.91,0,3.93,6.87,0,1.96
 84-94,0,0,0,10.62,5.31,0,55.23,4.25,2.12,6.37,9.56,1.06,0,0,3.19,0,2.12,1.06,0,3.19,731.74,0,1.06,48.85,37.17,0,1.06,1.06,0,1.06,4.25,0,0,0,0,7.43,0,3.19,1.06,2.12,2.12
 96-106,0,0,0,9.84,6.56,0,45.9,3.28,0,1.09,14.21,3.28,0,3.28,5.46,1.09,2.19,2.19,2.19,0,554.07,3.28,3.28,30.6,41.53,1.09,3.28,3.28,0,0,9.84,0,0,0,0,3.28,1.09,7.65,4.37,5.46,1.09
108-118,0,0,0,8.43,5.36,3.83,29.87,4.6,4.6,1.53,22.98,3.83,0,0,4.6,0.77,2.3,0,4.6,0,408.26,0,0.77,31.4,46.72,1.53,1.53,2.3,0,0.77,9.96,0,0.77,0.77,0,2.3,0.77,1.53,4.6,1.53,0.77
120,0,0,0,13.72,3.92,0,19.6,5.88,0,0,17.64,5.88,0,0,1.96,0,0,1.96,0,1.96,382.16,5.88,0,31.36,48.99,3.92,3.92,1.96,0,0,7.84,0,0,0,0,5.88,0,1.96,1.96,0,0
