stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,37,1,2,0,0,0,0,1,0,5,40,21,0,0,0,0,0
 24-34,0,0,1.64,1.64,0,0,6.57,0,0,0,4.93,0,0,0,0,0,0,0,3.28,0,0,276.63,0,2.46,0,0,0,0,0,0,0.82,8.21,66.49,0,0,2.46,0,0
 36-46,0,0.81,0,0,0,0,82.98,0.81,0,0,49.95,0,0.81,0,0,0,0,0,8.06,0,0,568,0,7.25,0.81,0,0,0.81,0,0,0,0.81,112.79,0,0,6.45,0,0.81
 48-58,0,0,0,3.44,0.57,0,277.15,0,0,0.57,114.76,0,0.57,0,0,0,0,0,13.77,0.57,2.87,689.14,0.57,2.87,0,0,0.57,1.15,0,0,0,0,111.89,0,0,5.74,0,1.15
 60-70,0,0,0,3.93,0,0,863.74,0,0.98,0,305.25,0.98,0.98,0.98,0,0,0,0,26.5,1.96,2.94,956.98,0.98,7.85,1.96,0,0.98,1.96,0,0,0,0,108.95,0,0,6.87,0,0
 72-82,0,0.98,0,11.78,0,0,1114.19,0,0.98,0,497.7,0.98,0,0,0,0.98,0.98,1.96,59.88,2.94,2.94,887.42,0,5.89,0,0,0,1.96,0,0,0,0,71.66,0.98,1.96,10.8,2.94,1.96
 84-94,0,1.06,0,24.43,1.06,0,689.26,1.06,3.19,0,301.62,2.12,1.06,1.06,0,4.25,0,0,42.48,2.12,4.25,478.98,1.06,5.31,0,0,0,3.19,0,0,0,0,50.98,2.12,2.12,8.5,2.12,2.12
 96-106,0,0,0,15.3,5.46,1.09,595.6,1.09,0,0,337.69,1.09,1.09,3.28,1.09,2.19,0,3.28,30.6,2.19,2.19,427.3,1.09,1.09,2.19,0,2.19,10.93,0,1.09,0,0,16.39,1.09,0,6.56,2.19,0
108-118,0,1.53,0,13.02,0.77,0,453.45,0,0.77,2.3,314.04,0.77,0,4.6,0.77,0.77,0,0.77,22.21,1.53,2.3,456.51,0,3.83,1.53,0,0.77,2.3,0,0,0,0,16.09,0.77,0.77,1.53,1.53,0
120,0,0,1.96,9.8,0,1.96,440.95,1.96,0,0,382.16,3.92,0,1.96,1.96,1.96,0,0,11.76,3.92,17.64,580.1,0,3.92,1.96,0,0,3.92,0,0,0,0,19.6,0,1.96,5.88,0,0
