stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,304.93,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0,0,0,94.41,12.59,0,837.09,0,0,15.73,6.29,0,25.18,0,0,0,0
 14-21,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,4,22,0,0,1,0,0,185,0,4,80,3,0,1,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,3.28,0,0,0,3.28,0.82,10.67,0,0,0,0,0,0.82,0.82,0,3.28,3.28,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,3.22,0,0,0,3.22,1.61,8.06,0,0.81,0,0,0,0,0.81,0,0,2.42,0,2.42,0
 48-58,0,0,0,0,0.57,0,3.44,0,0.57,0,0.57,10.33,0.57,0,0,4.59,1.72,8.61,0,0.57,0,0,0,0,0,0,0,2.3,0,0.57,0
 60-70,0,0,0,0,0.98,0,3.93,0,0.98,0,0,10.8,0.98,1.96,1.96,4.91,0.98,6.87,0,0.98,0,0,0,0,0.98,0,0,2.94,0,0,0.98
 72-82,0,0,0,0,0,1.96,5.89,0,0.98,0.98,0,21.6,0.98,1.96,0,6.87,1.96,11.78,0,0,0,0,0.98,0,0,0,0,0,1.96,4.91,0
 84-94,0,0,2.12,0,1.06,0,2.12,1.06,2.12,2.12,0,35.05,0,5.31,0,5.31,0,9.56,0,0,0,0,0,0,3.19,0,0,2.12,0,2.12,0
 96-106,0,0,0,0,3.28,1.09,1.09,0,1.09,4.37,0,41.53,0,2.19,1.09,5.46,0,7.65,0,0,0,0,0,0,1.09,0,0,0,0,2.19,0
108-118,0,0,0.77,0,3.06,0,3.83,0.77,2.3,6.89,0.77,28.34,3.06,6.89,1.53,6.89,2.3,19.15,0,0,0,0,0,0,3.06,0,0,2.3,0.77,3.83,0.77
120,0,0,0,0,3.92,3.92,0,0,1.96,7.84,0,52.91,1.96,3.92,5.88,1.96,1.96,15.68,0,0,0,1.96,0,0,1.96,0,0,3.92,0,5.88,3.92
