stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,20,1,1,0,0,0,2,1,7,0,0,0,0
 24-34,0,0.82,1.64,0.82,0,6.57,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,53.36,0.82,0,0,0,3.28,0,0,8.21,0,0.82,0,0
 36-46,0,0,0,0,0,14.5,0.81,1.61,0,0,0,0,0,0.81,0,0,4.83,0,0,59.62,0,0,0,0,0.81,0,0,16.11,0,1.61,0,0
 48-58,0,0,0.57,0,0,9.75,0,1.15,0,0,0,0,0,0,0,0.57,6.31,1.15,0.57,40.17,0,0,0,0,0.57,0,0,10.33,0.57,1.15,0,0
 60-70,0,0,0,0,0,18.65,0,0.98,0,0.98,0.98,0.98,0,0,0,0,3.93,0.98,0.98,68.71,0,0,0,0,0.98,0,0,7.85,0,0,0,0
 72-82,0,0,0.98,0.98,0,18.65,0.98,2.94,0.98,0,0,0,0,0,0,0,5.89,0,0.98,28.47,0,0,0,0,0.98,0,0,0.98,0.98,0.98,0,0.98
 84-94,0,0,2.12,0,0,14.87,1.06,3.19,0,0,0,0,0,0,0,0,4.25,0,1.06,15.93,1.06,0,1.06,0,1.06,0,0,2.12,0,0,0,0
 96-106,0,0,1.09,0,1.09,8.74,0,1.09,0,0,0,0,1.09,0,1.09,0,4.37,0,1.09,15.3,0,0,0,0,2.19,0,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0,7.66,0,2.3,0.77,0,0,0,0.77,0,0,0,1.53,0,0,13.79,0,0,0,0,1.53,0,0,0,0,0.77,0.77,0.77
120,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,11.76,0,0,0,0,3.92,0,0,0,0,0,0,0
