stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,92,1,3,1,0,0,0,0,0,0,49,0,0,0,0,0
 24-34,0,1.64,0,4.93,0,6.57,0,0,0,4.93,0,0.82,0,0,0,0,0,0,4.1,2.46,0,0,567.21,0.82,26.27,0.82,0,1.64,0,0.82,0,0.82,230.66,0,0,2.46,0,0.82
 36-46,0,0,0,2.42,0,43.51,0,0.81,0,12.09,0.81,0.81,0,0,0,0,0,0,5.64,0.81,0,1.61,1393.81,0.81,38.67,0.81,0,0.81,0,0,0,0,432.64,0,0,1.61,0,0
 48-58,0,1.72,0,6.89,0,200.26,0,0,0.57,25.25,0,0.57,0,0.57,1.15,0,0,0,21.23,0,1.72,4.02,1974.46,0.57,19.51,0.57,0,1.72,0,0,0.57,0,451.01,0,0,1.15,0,1.15
 60-70,0,0.98,0,5.89,0,474.08,0.98,0.98,1.96,24.54,1.96,0.98,0,0,0.98,0.98,0,0,25.52,0,0.98,2.94,3055.48,0,22.58,0,0,1.96,0,0,0,0,510.39,0,0,1.96,0.98,0.98
 72-82,0,7.85,0,15.71,7.85,601.76,0,1.96,0.98,50.06,2.94,0,0,1.96,0.98,0.98,1.96,0,33.38,0,0.98,1.96,2888.05,0,31.41,2.94,0.98,6.87,0,0,0,0,325.91,0.98,1.96,2.94,1.96,0
 84-94,0,1.06,0,18.05,2.12,423.75,1.06,0,2.12,49.92,3.19,2.12,1.06,2.12,2.12,1.06,0,1.06,33.99,0,2.12,2.12,1390.21,1.06,28.68,0,0,9.56,0,1.06,0,0,147.62,1.06,1.06,2.12,0,0
 96-106,0,4.37,0,19.67,1.09,297.25,0,1.09,2.19,50.27,3.28,0,3.28,0,2.19,0,4.37,0,44.81,1.09,2.19,3.28,1217.43,1.09,43.71,2.19,0,3.28,1.09,0,0,0,86.33,2.19,1.09,1.09,4.37,2.19
108-118,0,2.3,1.53,19.15,2.3,248.94,0.77,0,3.06,56.68,1.53,0.77,3.83,0,1.53,0,0,0,21.45,1.53,0.77,2.3,1260.78,0,29.11,0.77,0.77,2.3,0,0,0,0,60.51,2.3,0,4.6,1.53,0.77
120,0,3.92,0,33.32,3.92,325.32,1.96,3.92,0,76.43,0,0,0,1.96,1.96,0,0,0,29.4,1.96,0,7.84,1785.36,1.96,29.4,1.96,0,5.88,0,0,1.96,0,92.11,0,0,5.88,1.96,0
