stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,19,3,0,8,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,5,73,1,1,3,1,4,4,8,18,0,0,0,0,0
 24-34,0,0,5.75,0,0,12.31,0,0,0,0.82,0,0,0,0.82,0.82,0,0,0,13.13,0,0,4.1,123.95,1.64,0.82,0,0,10.67,0,0.82,40.22,0,0,2.46,0,0.82
 36-46,0,0,2.42,0,0,30.62,0,0.81,0,5.64,1.61,0,0,0,0,0,0,0.81,16.92,0,0,2.42,120.04,0,4.03,0,0,9.67,0,0,31.42,0,0,0,0.81,0
 48-58,0,0,4.02,0,0,36.72,1.15,0.57,1.72,9.75,0.57,0,0,0,0,0,0,0.57,11.48,0,0,1.72,95.83,0.57,0,0,0,5.16,0,0,21.8,0,0,3.44,0,0
 60-70,0,0,1.96,0,0,63.8,0,0,0.98,5.89,0,0,0,0,0.98,0,0.98,0.98,19.63,0.98,0,0,88.34,0.98,0.98,0.98,0,1.96,0,0,8.83,0,0,0.98,0,0.98
 72-82,0,0,0.98,1.96,0,23.56,0,0,0.98,11.78,3.93,0,0,1.96,0,0.98,1.96,0,19.63,0,0.98,0.98,56.94,0,0,0.98,0,0.98,0,0,0.98,0.98,0,2.94,0.98,0
 84-94,0,1.06,3.19,5.31,0,18.05,0,1.06,1.06,3.19,1.06,0,0,6.37,1.06,0,1.06,0,11.68,1.06,1.06,2.12,31.86,1.06,0,1.06,0,7.43,0,0,3.19,1.06,0,1.06,1.06,0
 96-106,0,0,5.46,5.46,0,18.58,1.09,3.28,0,4.37,3.28,0,1.09,3.28,0,1.09,0,1.09,9.84,1.09,3.28,1.09,13.11,2.19,0,2.19,0,7.65,0,0,1.09,0,0,2.19,2.19,1.09
108-118,0,0.77,6.89,0.77,1.53,9.19,0,1.53,0.77,3.06,5.36,0,0,3.06,0,0,0.77,0,8.43,0.77,0,0,23.74,0,0,0,0,6.89,0,0,0.77,2.3,0.77,0,0,0
120,0,0,5.88,0,0,13.72,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,5.88,0,0,0,9.8,0,0,1.96,0,5.88,0,0,1.96,0,0,0,0,0
