stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,36.8,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,6.29,0,0,18.88,6.29,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,120,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,2,18,0,0,0,2,17,0,3,1,2,2,0,0,0,0
 24-34,0,0,0,2.46,166.63,0,15.6,12.31,0,0,2.46,0,0,0.82,0,0.82,0,7.39,1.64,0,1.64,50.07,0.82,0.82,0.82,0,22.98,0,0,1.64,0.82,3.28,0,0,0.82,0
 36-46,0,0,0,0,87.82,0,27.39,6.45,0,0.81,0,0,0,0.81,0,0,0.81,1.61,0,0,0.81,33.03,0,0.81,0,0,10.47,0.81,0,4.03,0,2.42,0,0,0,0
 48-58,0,0,0,0,48.2,0,22.95,10.33,0,0.57,1.72,0,0.57,0.57,0,0,0,2.3,0,0,0,32.13,0,0,1.72,0,5.74,0,0,0,0,1.72,0,0,0,1.15
 60-70,0,0,0,0,71.65,0,29.45,21.59,0,0,8.83,1.96,0,2.94,1.96,0,0,0,0,0,1.96,36.32,0,0.98,0,0,2.94,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0.98,0,53.99,0,26.5,15.71,0.98,1.96,5.89,0.98,0,0.98,0,1.96,0,2.94,1.96,0,0,38.28,0,1.96,0.98,0,0,0,0,0.98,0,1.96,1.96,0,0,0
 84-94,0,0,0,0,122.13,1.06,23.36,25.49,0,1.06,9.56,2.12,0,4.25,1.06,2.12,0,2.12,1.06,0,0,10.62,0,1.06,2.12,0,5.31,0,0,2.12,0,0,2.12,0,1.06,0
 96-106,0,0,0,0,86.33,1.09,10.93,18.58,0,1.09,7.65,0,0,2.19,0,0,0,5.46,0,0,0,21.86,0,5.46,1.09,0,4.37,0,0,2.19,0,0,2.19,1.09,0,0
108-118,0,0,0,0,91.92,0,14.55,36.77,0,1.53,9.19,0,0.77,2.3,0.77,2.3,0,3.83,0,0.77,0,23.74,0,4.6,0.77,0,2.3,0,0,3.06,0,0,2.3,0,0.77,0
120,0,0,0,0,150.9,0,15.68,29.4,1.96,0,33.32,0,0,5.88,0,1.96,0,7.84,3.92,1.96,0,27.44,1.96,1.96,1.96,0,5.88,0,0,5.88,0,0,5.88,0,0,0
