stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,2,0,0,1,0
 24-34,0,0.82,1.64,0,0,0,0,0,8.21,0,0,4.1,0.82
 36-46,0,0,0,0,0.81,0,0.81,0,3.22,0,0,0,0
 48-58,0,0,2.3,0.57,1.15,0,2.3,0,1.72,0,0,1.72,0
 60-70,0,0,0,0,0,0,4.91,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0,0,4.91,0.98,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,2.12,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,2.19,0,0,0,0,0,0
120,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0
