stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,23.66,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22,0,0,4,1,0,0,7,1,0,4,10,0,0,0
 24-34,0,0,0.82,0,0,0,2.46,0.82,0,0.82,0,0.82,0,0,0.82,0,0,0.82,0,0,0,13.95,0,1.64,0.82,0,0,0,0,0.82,0,1.64,6.57,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0.81,0,0,0.81,11.28,0,0.81,0,0,0,0,0,0,0,0.81,4.83,0,0,0
 48-58,0,0,0,0,0,0,1.72,0.57,0,0.57,0.57,0.57,4.02,0,0.57,0,0.57,0.57,0.57,0,1.15,5.16,0,0,0,0,0,0,0,1.15,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,0,0.98,0,0,3.93,2.94,0.98,0,0,0.98,0,0,4.91,0,0,0,1.96,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,1.96,5.89,0.98,0,0,0,0.98,0,2.94,0,0,0,1.96,0,0,0,0,0,0,0,16.69,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,7.43,0,0,2.12,5.31,2.12,1.06,0,0,0,1.06,2.12,0,0,0,2.12,0,1.06,0,0,0,0,0,39.3,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,1.09,24.04,4.37,0,0,0,0,1.09,4.37,0,0,0,6.56,1.09,2.19,0,0,0,0,0,43.71,0,0,2.19,0,2.19,0
108-118,0,0,0,3.83,0.77,10.72,9.96,0,0.77,0,29.11,11.49,0,0.77,0,0,6.13,10.72,0,0.77,1.53,7.66,0,4.6,0.77,0,0.77,0.77,0,85.79,0,0,2.3,0,0,0.77
120,0,0,0,3.92,0,5.88,5.88,0,1.96,1.96,23.52,5.88,0,0,0,0,9.8,13.72,0,1.96,3.92,7.84,0,1.96,0,0,0,0,0,62.71,0,0,1.96,1.96,0,0
