stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,3.15,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,107,6.29,0,0,84.97,0,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,15,10,6,0,1,1,0,4,0,2,0,0,0,23,0,0,8,78,2,2,1,2,0,1,10,6,4,19,28,0,0,0,0
 24-34,0.82,0,1.64,0,3.28,0.82,12.31,0.82,0.82,0.82,0.82,3.28,0,4.1,0,0,0,21.34,0,0,12.31,107.53,0,1.64,0.82,0,0,0,0.82,11.49,0.82,1.64,13.95,0,0,4.93,0
 36-46,0,0,0,0,0.81,0,24.17,0.81,0.81,0,0,0.81,0,0.81,0,0,0,9.67,0,0,3.22,37.06,0,0.81,0,0,0,0,0,8.06,0,0,12.89,0,0,3.22,0
 48-58,0,0,0,0,0.57,0,24.67,1.72,4.02,0,0,0.57,0,0,0,0,0,7.46,0,0,1.15,15.49,0,0,0,0,0,0,0,4.59,0,0,6.89,0,0.57,1.72,0
 60-70,0,0,0,0,0.98,0,15.7,0.98,2.94,3.93,0,0,0,0.98,0,0.98,0,5.89,0,0.98,0.98,10.8,0,0,0,0,0,0,0,5.89,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0,0,12.76,0.98,4.91,14.72,0,1.96,0,0,1.96,0,0.98,16.69,0.98,0,0,8.83,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0,3.93,0
 84-94,0,0,0,0,0,0,2.12,1.06,3.19,35.05,0,2.12,0,0,1.06,0,1.06,14.87,0,0,6.37,9.56,0,0,1.06,0,0,0,0,5.31,0,0,1.06,0,0,1.06,0
 96-106,0,0,1.09,0,1.09,2.19,13.11,0,8.74,60.11,0,0,1.09,0,1.09,0,3.28,7.65,0,1.09,2.19,12.02,0,2.19,0,0,0,1.09,0,7.65,0,0,1.09,0,0,0,1.09
108-118,0,0,0,0,0.77,0,11.49,1.53,10.72,85.79,0,0.77,0,0,6.89,0,2.3,10.72,0,1.53,2.3,10.72,0,0,1.53,0,1.53,2.3,0,11.49,1.53,0,0.77,0.77,0,0.77,0.77
120,0,0,0,0,1.96,0,9.8,0,1.96,70.55,0,0,0,0,0,0,0,3.92,0,0,1.96,5.88,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0
