stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,23,1,1,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0,10.67,0,0,0,0.82,21.34,0,2.46,0,0,0.82,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,0.81,0,0,0,0,0,0,1.61,0,1.61,20.95,0,0,0.81,0.81,9.67,0,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0,4.02,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0,12.62,0,0,0,0,5.74,0,1.72,0,0,0.57,0
 60-70,0.98,0,0,0.98,0,0,8.83,0,1.96,0.98,0,0,0.98,0.98,0,0,0,0.98,0,0,6.87,0,0,0,0.98,6.87,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,0,0,14.72,0,0,0,1.96,0,0,0,0,0,0,1.96,0.98,0,20.61,0,0.98,0.98,1.96,4.91,0,0.98,1.96,0,0.98,0
 84-94,0,0,0,0,1.06,0,2.12,0,1.06,0,2.12,0,0,0,1.06,0,1.06,1.06,0,0,10.62,0,0,1.06,3.19,12.74,0,0,1.06,1.06,1.06,1.06
 96-106,0,0,0,3.28,2.19,0,3.28,0,0,0,1.09,0,0,0,0,0,0,7.65,0,2.19,21.86,0,0,0,5.46,17.49,0,0,0,0,0,0
108-118,0,0,0,0.77,0,2.3,6.89,0.77,0,0,3.06,0.77,0,0.77,0,0.77,0.77,3.06,1.53,0.77,8.43,0,0,0,3.06,10.72,0,0.77,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0,3.92,0,1.96,7.84,0,0,0,5.88,7.84,0,1.96,0,0,0,0
