stage,axial,blastomeres,eye,glial,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,26.36,421.69,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,6.13,183.89,0,0,6.13,0,0,0,0,18.39,0,0,0
  7-9,2.63,5.26,2.63,0,2.63,0,44.69,5.26,7.89,0,5.26,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,1.09,2.19,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0,2.3,0,0,0.77,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0
