stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.91,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,15,5,0,0,1,0,0,1,0,1,4,0,0,1,1,0,6,0,0,2,12,1,0,0,0,0,27,2,1,9,0,0,1,0,0
 24-34,0,0,0,7.39,2.46,0.82,0,3.28,0,0.82,0.82,0,7.39,11.49,16.42,0,0.82,0,0.82,5.75,0,0,5.75,22.16,1.64,3.28,0,0,0.82,65.67,0,1.64,1.64,0,0,15.6,0,0
 36-46,0,0,0,3.22,0,1.61,0,2.42,0.81,1.61,0,0,4.03,12.89,3.22,0.81,0.81,0,0,4.03,0,0.81,2.42,18.53,1.61,1.61,1.61,0,0,47.53,0,0,5.64,0,0,6.45,0,2.42
 48-58,0,0,0,5.74,1.72,6.31,0,4.59,0,2.3,0,0,4.59,13.2,5.74,1.15,0.57,0.57,0,2.87,1.15,0,0.57,11.48,0.57,0.57,0,0,0,44.76,0,0.57,4.59,0,0.57,6.31,0,3.44
 60-70,0,0.98,0,4.91,1.96,3.93,0,0.98,0.98,6.87,0,0,2.94,28.46,4.91,4.91,1.96,0,0,8.83,2.94,0.98,1.96,20.61,2.94,0,1.96,0,0.98,32.39,0,0.98,1.96,0.98,0.98,16.69,0,0.98
 72-82,0,0,0.98,15.71,2.94,9.82,0,2.94,0.98,9.82,3.93,0,5.89,54.97,8.83,2.94,2.94,0,0,26.5,1.96,1.96,0.98,11.78,0,1.96,0,0,0.98,28.47,0,0,1.96,1.96,0.98,29.45,0,1.96
 84-94,0,0,0,21.24,4.25,12.74,1.06,8.5,0,4.25,6.37,0,5.31,66.91,12.74,9.56,2.12,1.06,1.06,18.05,0,2.12,1.06,12.74,0,2.12,0,0,1.06,91.34,0,4.25,2.12,5.31,1.06,30.8,1.06,1.06
 96-106,0,1.09,0,38.25,2.19,12.02,1.09,4.37,0,9.84,17.49,0,6.56,108.19,12.02,9.84,3.28,1.09,0,34.97,0,2.19,2.19,17.49,2.19,13.11,0,0,2.19,75.41,0,4.37,2.19,8.74,1.09,41.53,2.19,2.19
108-118,0,0,0,37.53,5.36,6.89,0,6.89,0,13.02,15.32,0,1.53,76.6,17.62,13.79,3.06,0.77,0.77,26.81,6.13,1.53,0.77,13.79,1.53,4.6,1.53,0,0,78.89,0,2.3,0.77,8.43,0,26.81,0.77,1.53
120,0,0,0,58.79,5.88,3.92,0,11.76,0,5.88,7.84,0,7.84,94.07,9.8,5.88,5.88,0,0,29.4,3.92,0,0,17.64,0,7.84,3.92,0,0,64.67,0,3.92,1.96,1.96,0,23.52,7.84,0
