stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,70.59,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,3.22,0.81,0.81,0,0,0,0,0.81,0,0,164.36,0,1.61,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,1.15,0,7.46,0,1.72,0,0,0,0.57,2.3,0,0.57,155.5,0.57,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0.57
 60-70,0,0,0,0,0,1.96,0,0.98,0,0,0,0,1.96,0,0,310.16,0,0,0,0,0,0.98,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,1.96,0,19.63,0,4.91,0,0,0.98,0,5.89,0,0,358.31,0,0,0.98,0,0,0,0,0,0,0,7.85,0,0.98,0.98,0
 84-94,0,0,0,3.19,2.12,18.05,0,10.62,0,0,0,0,3.19,0,0,196.48,0,0,0,0,0,2.12,1.06,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,2.19,0,9.84,0,2.19,1.09,0,0,0,3.28,0,0,179.23,0,0,0,1.09,1.09,2.19,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,0,6.13,0,7.66,0,0,0,0,3.06,0.77,0,173.87,0,0.77,0,0,0,0.77,0.77,0,0,0,2.3,0.77,1.53,0,0
120,0,0,0,0,0,7.84,0,1.96,0,0,0,0,0,0,0,250.85,0,0,0,0,1.96,3.92,0,0,0,0,0,1.96,0,0,0
