stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,hatching_gland,immune,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,65.89,2108.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0
  5-6,55.17,858.15,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,30.65,0,0,0
  7-9,5.26,5.26,0,5.26,0,2.63,0,5.26,0,0,0,0,0,97.26,0,0,18.4,0,2.63,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,3.22,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,1.72,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,2.94,0.98,0,1.96,1.96,0,2.94,0,1.96,0,2.94,0,0,0,0,0.98
 72-82,0,0,0.98,0,0.98,0,0.98,0,0,6.87,0,0.98,0,6.87,0,5.89,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,4.25,0,0,0,2.12,0,5.31,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,12.02,0,1.09,0,2.19,0,4.37,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0.77,0,0,8.43,0.77,0,0,2.3,0,3.06,0,0,1.53,0,0
120,0,0,0,0,0,1.96,1.96,0,1.96,11.76,0,1.96,0,0,0,0,0,0,0,0,0
