stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.77,0,10.51,0,0,0,28.92,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,131.44,5.26,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,18.88,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,151.05,3.15,0,0,40.91,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,47,2,0,3,0,1,0,1,0,3,0,0,0,0,0,1,1,7,0,0,6,29,0,0,7,1,0,2,3,0,4,12,0,0,0,0,0
 24-34,0,0,0.82,0,12.31,0,0,4.1,0,4.93,0,0,1.64,0,0,0,0,0,0,0,0.82,15.6,0,0,5.75,136.26,1.64,5.75,31.19,0,0,0,0,2.46,1.64,22.98,0,0,0.82,0,0
 36-46,0,0,0.81,0.81,15.31,0,0,14.5,0,0.81,0,6.45,1.61,0,0,0,0,0,0,0.81,0.81,24.17,0,0.81,5.64,257.81,0,4.03,9.67,0,0,2.42,0,0.81,0,45.92,0,0,0,0,0.81
 48-58,0,0,0,0,10.33,0.57,0,41.89,0,1.15,0,11.48,2.3,0,0.57,0,0.57,0,0,1.15,0.57,40.17,0,0.57,1.15,296.66,0.57,2.87,11.48,0,0,1.15,0,0.57,0,56.81,0,0.57,0.57,0,0
 60-70,0,0,2.94,0,22.58,0,0,68.71,0,2.94,0.98,18.65,14.72,0.98,0,0,0,0.98,0.98,1.96,0,60.85,0,1.96,5.89,557.5,0,4.91,9.82,0,1.96,0,0,0.98,0,71.65,0,1.96,0.98,0.98,0
 72-82,0,0,0.98,0,14.72,0,0,61.84,0,1.96,3.93,12.76,31.41,0,2.94,0,0,0,0,2.94,0.98,47.12,0,5.89,6.87,308.24,0.98,1.96,10.8,0,0,0,0,0,0,21.6,0,1.96,0.98,0.98,0
 84-94,0,0,1.06,0,39.3,2.12,0,45.67,2.12,4.25,2.12,10.62,49.92,0,0,0,0,0,2.12,2.12,1.06,47.79,0,1.06,5.31,161.43,1.06,1.06,13.81,0,0,0,0,1.06,0,13.81,1.06,5.31,3.19,3.19,1.06
 96-106,0,0,2.19,0,33.88,2.19,0,33.88,0,5.46,1.09,15.3,89.61,0,1.09,1.09,0,1.09,2.19,0,0,44.81,0,5.46,9.84,140.98,0,5.46,16.39,0,0,1.09,0,0,0,9.84,1.09,5.46,0,3.28,0
108-118,0,0,0.77,0,27.57,0,2.3,21.45,0,6.89,0.77,8.43,51.32,0,0,0,2.3,1.53,0.77,3.06,0,38.3,0.77,0.77,2.3,162.38,0,3.83,9.19,0,0,2.3,0,0,0,9.96,0,0,1.53,2.3,0
120,0,0,1.96,0,37.24,0,0,17.64,0,3.92,0,13.72,35.28,0,1.96,0,0,0,0,3.92,0,17.64,0,1.96,0,235.17,0,1.96,11.76,0,1.96,0,0,0,0,11.76,0,0,1.96,0,0
