stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,380.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,4,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,48,2,0,0,2,0,0,0,1,3,1,30,0,0,0,0,0
 24-34,0,0,0,2.46,7.39,1.64,0,25.45,0,0,0.82,2.46,0.82,0,0.82,6.57,1.64,0,0,1.64,0,11.49,0,0,3.28,224.91,0,7.39,1.64,0,0,3.28,0,2.46,0.82,3.28,85.37,0,0,2.46,0,0.82
 36-46,0,0,0.81,0,4.83,0,0,43.51,0,0,3.22,2.42,0.81,0,0.81,10.47,0,0,0.81,1.61,3.22,3.22,0,0.81,3.22,380.28,0.81,3.22,0,0,0,1.61,0,4.83,0,0,115.21,0,0,3.22,0,2.42
 48-58,0,0,0,0,1.72,0.57,0,94.68,0,0,1.15,4.02,1.15,0.57,1.15,12.05,1.72,1.72,0,1.15,2.87,9.18,0.57,0.57,4.02,286.33,0.57,1.72,1.15,0,0.57,1.72,0,3.44,1.15,0,63.12,0,0,4.02,0,7.46
 60-70,0,0,1.96,0,9.82,3.93,0,224.77,2.94,1.96,2.94,15.7,3.93,0.98,0,12.76,0.98,0.98,0,2.94,0.98,28.46,0,0,4.91,349.42,0,0.98,0,0,0,6.87,0,3.93,0,0,53.98,0,0,5.89,0,5.89
 72-82,0,0,3.93,0,12.76,30.43,0,206.15,0.98,0,10.8,59.88,9.82,0.98,0.98,21.6,0,0,0,1.96,0.98,78.53,1.96,2.94,6.87,352.42,0,4.91,5.89,0,0.98,6.87,0,21.6,0,0,36.32,0,1.96,12.76,2.94,17.67
 84-94,0,0,3.19,0,31.86,27.61,1.06,154,1.06,2.12,9.56,52.04,13.81,1.06,3.19,47.79,1.06,7.43,0,5.31,3.19,57.35,1.06,4.25,9.56,209.22,2.12,1.06,5.31,0,1.06,35.05,1.06,70.09,2.12,0,32.92,3.19,2.12,10.62,1.06,20.18
 96-106,0,0,4.37,0,42.62,42.62,1.09,162.83,2.19,10.93,8.74,95.08,16.39,0,4.37,40.44,8.74,9.84,0,4.37,2.19,106.01,3.28,7.65,10.93,205.46,0,9.84,9.84,0,4.37,59.01,0,75.41,1.09,0,18.58,3.28,5.46,19.67,9.84,17.49
108-118,0,0,3.06,0,97.28,49.02,2.3,163.92,3.83,19.15,10.72,86.55,27.57,0,3.83,42.89,5.36,17.62,2.3,24.51,3.83,139.41,1.53,7.66,15.32,317.87,4.6,6.89,8.43,0,0.77,70.47,0,100.34,3.83,0,14.55,2.3,1.53,12.26,4.6,20.68
120,0,0,3.92,0,121.51,60.75,1.96,97.99,5.88,23.52,17.64,78.39,45.08,0,7.84,68.59,3.92,7.84,5.88,15.68,0,156.78,1.96,3.92,23.52,305.73,5.88,9.8,11.76,0,1.96,94.07,0,70.55,1.96,0,9.8,1.96,3.92,13.72,7.84,1.96
