stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,33,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,9,0,1,0,1,0,5,1,10,4,3,0,0,1,0,0
 24-34,0,0,0.82,0,15.6,0.82,0.82,1.64,4.1,0,0,0.82,0,1.64,1.64,3.28,0,2.46,0,4.93,4.93,2.46,0,7.39,74.7,3.28,0.82,4.93,0,0,9.03,3.28,5.75,4.1,16.42,0,0,7.39,0,2.46
 36-46,0,0,0,0,7.25,0,2.42,4.03,3.22,0.81,11.28,0,0,0.81,0.81,0.81,0.81,0,0,1.61,11.28,0,0,7.25,82.18,0.81,2.42,2.42,0,0,6.45,0,0.81,0,24.98,0,0,8.86,0,0.81
 48-58,0.57,0,0,0,5.74,0,19.51,3.44,3.44,0.57,25.82,0,0.57,0.57,1.72,0,0.57,0.57,0,1.15,16.07,0,0.57,4.02,98.69,0,2.87,1.72,0,0,5.74,0.57,2.3,0,18.36,0,0,2.3,0,2.87
 60-70,0,0,0,0,4.91,0,25.52,1.96,7.85,0.98,31.41,1.96,0,0.98,3.93,0,1.96,2.94,0,1.96,15.7,0,0,1.96,117.78,0,4.91,3.93,0,1.96,2.94,0,0.98,0,21.59,0,3.93,3.93,1.96,0.98
 72-82,0,0,1.96,0,16.69,3.93,75.59,1.96,5.89,2.94,50.06,4.91,0,1.96,6.87,2.94,0.98,2.94,0,0.98,36.32,0,1.96,2.94,156.08,0,2.94,4.91,0,0,10.8,0.98,0.98,0,16.69,2.94,0.98,20.61,0,0
 84-94,0,0,1.06,0,31.86,1.06,28.68,3.19,9.56,3.19,40.36,3.19,1.06,3.19,11.68,4.25,4.25,0,1.06,2.12,33.99,3.19,4.25,6.37,77.53,0,3.19,8.5,0,0,25.49,0,2.12,0,9.56,3.19,6.37,14.87,3.19,3.19
 96-106,0,0,2.19,0,36.06,2.19,20.76,5.46,6.56,2.19,25.14,5.46,0,1.09,7.65,5.46,0,6.56,1.09,1.09,39.34,0,4.37,0,63.39,2.19,7.65,6.56,0,3.28,22.95,1.09,1.09,0,2.19,4.37,2.19,21.86,1.09,1.09
108-118,0,0,2.3,0,39.06,2.3,26.04,3.06,12.26,2.3,22.98,6.89,0,1.53,8.43,2.3,4.6,0.77,1.53,0,23.74,0.77,2.3,1.53,69.7,0.77,4.6,6.13,0,0.77,19.92,3.06,3.06,0,1.53,3.06,0,10.72,2.3,5.36
120,0,0,0,0,29.4,1.96,17.64,1.96,3.92,0,17.64,17.64,0,0,11.76,1.96,1.96,0,0,0,33.32,0,0,0,50.95,3.92,1.96,7.84,0,0,17.64,3.92,5.88,0,1.96,0,0,13.72,0,0
