stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,126.41,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,44.33,0,0,0,0,0,0,0.82,11.49,0,0,0.82,0
 36-46,0,0.81,0,1037.7,0,0.81,0.81,3.22,0,0,1.61,0,0,0,0,1.61,7.25,0,0,1.61,143.41,0,3.22,0,1.61,0,0.81,0.81,33.03,0,0,3.22,2.42
 48-58,0,6.31,1.72,996.13,0.57,0,0.57,14.92,0.57,1.72,0.57,0,0.57,1.15,0.57,0.57,29.84,1.15,1.72,6.89,208.86,1.72,0.57,1.72,1.15,0.57,0,0,40.74,0,1.15,1.72,2.87
 60-70,0,0.98,1.96,476.04,0,1.96,0,8.83,0,0,0,0.98,0,0,0,0,10.8,0,0.98,0.98,84.41,0.98,0.98,0,0.98,0,0,0,6.87,0,0,0.98,0.98
 72-82,0,0.98,0,163.94,0,0.98,0.98,5.89,0,0,0,0,0,0,0,0,5.89,0,1.96,0,28.47,0,0,0,0.98,0,0,0,2.94,0,0,0.98,0
 84-94,0,4.25,1.06,180.55,0,0,0,8.5,0,0,0,1.06,3.19,0,0,0,7.43,0,0,1.06,31.86,0,1.06,2.12,2.12,0,0,0,2.12,1.06,0,0,2.12
 96-106,0,2.19,0,136.61,0,1.09,0,7.65,0,0,0,0,1.09,0,0,0,5.46,0,0,0,25.14,1.09,1.09,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,2.3,1.53,144,0,0,0,3.06,0,0,0,0,0,0,0,0,4.6,0,0,0,30.64,0,0,0,0.77,0,0,0,0,0,0,0.77,0.77
120,0,0,0,139.14,0,0,0,5.88,0,0,0,0,0,1.96,0,0,0,0,1.96,0,29.4,0,1.96,0,3.92,0,0,0,0,0,0,0,0
