stage,blastomeres,epidermis,erythrocytes,eye,gut,mesenchyme,neural,otic,periderm,spinal_cord
  3-4,131.78,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,10.51,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,3.15,0
 14-21,0,1,0,0,0,0,0,1,1,0
 24-34,0,0,0,0.82,0,0,1.64,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0.98,1.96,0.98,0,0
 96-106,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,2.3,0,0,0
120,0,0,1.96,1.96,0,0,1.96,0,0,0
