stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,2,1,6,0,0,0,0,1
 24-34,0,0,0,0,1.64,0,2.46,0,0.82,0,3.28,0,0,0,0,0,0,0,0,0.82,1.64,0,0,1.64,35.3,0,0,0.82,0,2.46,0,0,9.85,0,0,1.64,0,0.82
 36-46,0,0,0,0,0.81,0,2.42,0.81,0.81,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0.81,0,0.81,19.34,0,0,0,0,2.42,0,0,12.89,0,0,0,0,0.81
 48-58,0,0,0,0,1.72,0,8.03,0,0,0.57,4.02,0.57,0,0.57,0,0,0,0,0,0,6.31,0,0,0,29.26,0,0,0,0,0,0,0,5.74,0,0,0,0,1.15
 60-70,0,0,0.98,0,0.98,0,20.61,0,0.98,0.98,6.87,0,0,0,0,0,0,0,0,0,5.89,0,0.98,0,31.41,0,0,0,0,0,0,0,1.96,0,0,0.98,0,0
 72-82,0,0,0,0,0,1.96,18.65,0,0,0,3.93,0.98,0,0,0,0,0,0,0,0,14.72,0,0,1.96,43.19,0,0,0.98,0,0,0,0,2.94,0.98,0.98,4.91,0,0
 84-94,0,0,0,0,2.12,1.06,12.74,0,1.06,0,4.25,0,0,0,1.06,1.06,1.06,0,0,0,5.31,0,0,2.12,26.55,0,0,0,0,2.12,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,6.56,0,3.28,0,0,0,0,0,2.19,0,0,1.09,0,0,9.84,0,0,1.09,15.3,0,1.09,0,0,6.56,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,0.77,0,9.96,0,0,0,0.77,0.77,0,0,0.77,0,0.77,0,0.77,0,3.06,0,0.77,0,13.02,0.77,0,0,0,2.3,0,0,0,0.77,0.77,0.77,0,0
120,0,0,0,0,3.92,1.96,5.88,0,1.96,0,5.88,1.96,0,0,0,0,0,0,0,0,5.88,0,0,3.92,21.56,0,0,1.96,0,1.96,0,0,1.96,1.96,0,1.96,0,0
