stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,26.29,5.26,0,0,799.13,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.03,0,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,160.5,25.18,0,0,1800.07,0,0,44.06,22.03,0,40.91,0,0,0,0
 14-21,0,4,0,0,4,9,0,3,0,0,0,0,0,0,0,1,0,10,31,0,2,0,5,1,0,1179,0,17,532,7,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,7.39,0.82,0,0,0,2.46,0,3.28,0,0,98.5,1.64,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0.81,6.45,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.59,0,1.15,0,0,0,0,0,1.72,0,0.57,5.16,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0.98,0.98,0,9.82,0,0,0,0,0.98,0,0,0,0,0,3.93,0.98,0,0
 72-82,0,0,0,0,0,0,0,2.94,0,0.98,0,0,0,0,0,6.87,0,0,13.74,0,0.98,0,0,0,0,0,0,0,0,0.98,0,1.96,0
 84-94,0,0,1.06,0,1.06,0,0,5.31,0,2.12,0,0,0,0,0,1.06,0,1.06,4.25,1.06,0,0,0,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,2.19,0,0,1.09,0,1.09,0,1.09,1.09,0,0,4.37,0,0,13.11,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,1.53,3.06,0.77,1.53,0,0,0,0.77,1.53,3.06,0,0.77,4.6,0,0.77,0.77,0,0.77,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,3.92,0,0,9.8,0,9.8,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0
