stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,4,2,4,0,0,0,1,3,3,0,0
 24-34,0,0,0,0.82,0.82,2.46,0,0,0.82,0,0,4.93,0,0,0,0.82,3.28,0.82,58.28,0,5.75,0,0,1.64,30.37,0,2.46
 36-46,0,0,0,0,0,3.22,0,0,1.61,0,0,4.83,0,0,0,0,2.42,0.81,181.28,0,8.06,0,0,0.81,38.67,0,4.03
 48-58,0,0,0,0.57,0,12.05,0,0.57,3.44,0,0,5.74,0,0,0,0,2.3,0.57,288.05,0,2.3,0,0,0.57,43.61,0,8.03
 60-70,0,0,0,0,1.96,43.19,0,0.98,0.98,0,0,9.82,0,0,0,0.98,2.94,0,543.76,0,0.98,0,0,0.98,57.91,0,5.89
 72-82,0,0,0,2.94,0,69.7,0,0,12.76,0,0,8.83,0,0,0,0,2.94,0,554.64,0,4.91,1.96,0,0,45.16,0.98,3.93
 84-94,0,0,0,3.19,1.06,67.97,0,1.06,9.56,0,0,22.3,0,1.06,1.06,0,8.5,1.06,280.38,0,3.19,2.12,0,0,31.86,0,18.05
 96-106,0,0,0,3.28,1.09,72.13,0,0,7.65,1.09,0,24.04,1.09,0,0,0,5.46,3.28,315.83,1.09,6.56,0,0,2.19,18.58,0,5.46
108-118,0,0,0,2.3,2.3,68.94,0,0.77,4.6,0,0.77,32.17,0,0,0.77,0.77,5.36,1.53,301.79,0,2.3,0,0,0.77,11.49,0.77,10.72
120,0,0,0,1.96,3.92,82.31,1.96,1.96,5.88,0,1.96,41.16,0,0,0,0,7.84,0,390,0,1.96,1.96,0,0,19.6,0,9.8
