stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,2.63,0,10.51,0,0,0,31.54,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,197.15,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,12.59,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,3,47,1,0,0,2,0,0,18,1,0,5,15,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,12.31,1.64,0,2.46,0.82,0,0,0,0.82,0,0,0,0,13.95,0,0,3.28,59.92,0.82,0,0,0,0,3.28,0,0,0.82,0,18.88,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,19.34,0,0.81,4.03,0,0,0,0,0.81,0,0,0,0,13.7,0,0,2.42,40.28,0.81,0,0.81,0,0,6.45,0,0.81,0,0,8.86,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,6.89,0.57,1.15,3.44,0.57,0,0,0,0,0.57,0,0,0,19.51,0,0,2.87,24.67,1.72,0,0,0,0,2.3,0,0,0,0,6.89,0,1.72,0,0
 60-70,0,0,0,0,0,0,0,12.76,0,0,6.87,0,0,1.96,0,0,0.98,0,0,0,23.56,0,0,1.96,21.59,0,0,0.98,0,0,0.98,0,0,0,0,2.94,0,0.98,0,0
 72-82,0,0,0.98,0,0,0.98,0.98,15.71,0.98,0,13.74,0,0,0,0.98,0,0,0,0,0,27.49,0,0.98,1.96,17.67,0,0,3.93,0,0.98,0.98,0,0,0,0,2.94,2.94,1.96,0,0.98
 84-94,0,0,0,0,2.12,1.06,0,5.31,0,1.06,2.12,1.06,0,0,1.06,0,1.06,0,0,0,31.86,1.06,3.19,4.25,7.43,1.06,0,2.12,0,0,7.43,0,1.06,1.06,0,1.06,0,3.19,1.06,0
 96-106,0,0,0,0,2.19,0,0,6.56,2.19,0,6.56,2.19,0,0,0,0,0,1.09,1.09,0,20.76,0,3.28,2.19,16.39,0,1.09,3.28,0,1.09,3.28,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0.77,0.77,4.6,0,0,4.6,0,0.77,5.36,0,0,0,0.77,0,0.77,0,0.77,0.77,13.02,0.77,0,1.53,16.09,0,0.77,3.06,0,0,6.13,0,0,0,0,0,0,2.3,0,0.77
120,1.96,0,0,0,5.88,0,0,3.92,1.96,0,3.92,0,0,0,1.96,0,1.96,0,0,0,9.8,0,0,1.96,19.6,0,0,1.96,0,0,9.8,0,0,0,0,0,0,3.92,0,1.96
