stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,105.42,1027.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,36.78,306.48,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,7.89,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,73.6,2.63,0,0,28.92,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,157.35,3.15,0,0,34.62,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,99,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,48,3,0,1,0,0,1,0,0,2,9,0,0,0
 24-34,0,0,1.64,0,2.46,184.69,0,9.03,0,0,0,0.82,0.82,0,0,0,0,0.82,0,0,0,6.57,0,0,1.64,54.18,0,0.82,0.82,0,1.64,0,1.64,0,1.64,10.67,0,1.64,0
 36-46,0,0,0,0,0,62.04,0,5.64,0,0.81,0,1.61,0,0,1.61,0,0,0,0,0,0,3.22,0,0,0,25.78,0,0.81,0,0,1.61,0,0.81,0,0,12.09,0,0.81,0
 48-58,0,0,0.57,0,0,70,0,12.05,0,0,0.57,4.59,0,0,0,0,0,0,1.15,0,0.57,6.31,0,0,1.72,22.38,0,1.15,1.15,0,2.3,0,0.57,0,0,8.03,0,0.57,0.57
 60-70,0,0,0,0,1.96,33.37,0,23.56,0,0,0,7.85,0.98,0,0,0,0,0,0.98,0,0,13.74,0,0,0,22.58,0,0,0.98,0,3.93,0,1.96,0.98,0,3.93,0,0.98,0.98
 72-82,0,0,0,0,0,13.74,0,12.76,0,0,0,5.89,0,0,0.98,0,0,0,0.98,0,0,7.85,0,0,0,12.76,0,1.96,1.96,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,2.12,22.3,0,12.74,0,0,0,5.31,0,0,0,2.12,0,0,0,1.06,0,10.62,0,1.06,4.25,13.81,0,0,2.12,0,4.25,0,0,0,0,0,2.12,0,0
 96-106,0,0,1.09,0,3.28,8.74,1.09,16.39,0,0,0,3.28,1.09,0,0,0,1.09,1.09,0,0,0,5.46,1.09,0,3.28,12.02,0,2.19,0,0,4.37,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,0.77,21.45,2.3,5.36,0.77,0,0.77,3.83,3.06,0,0,0.77,0,0,0,0.77,0.77,7.66,0,0.77,2.3,9.96,0,1.53,0.77,0,3.83,0,0,0,0,0,0.77,0,0
120,1.96,0,0,0,1.96,19.6,1.96,3.92,0,0,0,3.92,3.92,0,0,0,1.96,0,0,0,0,1.96,0,0,0,7.84,0,3.92,1.96,0,7.84,0,0,0,0,0,1.96,0,0
