stage,blastomeres,eye,fin_mesenchyme,glial,heart,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,otic,pericytes,slow_muscle,somites,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0,0.82,0.82,0,0
 48-58,0,0,0.57,2.3,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0.57
 60-70,0,0,0.98,0.98,0,0,0.98,1.96,1.96,0,0.98,0,0,0,0,0,0
 72-82,0,0,1.96,1.96,0.98,0,0,0.98,8.83,0.98,0.98,0.98,0,0,0,0.98,0
 84-94,0,1.06,3.19,2.12,0,0,0,0,6.37,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,1.09,0,0,0,0,13.11,0,0,0,0,0,0,0,0
108-118,0,0.77,0,1.53,0,1.53,0,0.77,6.89,0,1.53,0,0.77,0,0,0,0
120,0,0,0,1.96,0,0,0,0,7.84,0,0,0,0,0,0,0,0
