stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.55,0,1.64,0,0,0,0,0,10.67,0,0,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,78.96,0,0.81,0,0,0,0,0.81,29.81,0,0,0,0,0
 48-58,0,0,0.57,0,0,49.92,0,0,0,1.72,0,0,0,0,0,0.57,0,0,1.15,0,0,91.81,0,0,0,0,0,0.57,0,44.18,0,0,0.57,0,0
 60-70,0,0,1.96,0,0,584.99,0,0,0,3.93,0,0,0,0,0,0,0,0,1.96,0,0,154.1,0,0,0,0,0,1.96,0,29.45,0,0,0,0,0
 72-82,0,0,3.93,0.98,0,853.06,0,0.98,0.98,20.61,0.98,0.98,0.98,0,0.98,0.98,1.96,0,11.78,0.98,0,186.52,0,0.98,0.98,0,0,0,0,33.38,1.96,0.98,0.98,1.96,0
 84-94,0,0,10.62,0,0,417.38,0,1.06,0,31.86,0,0,0,0,1.06,1.06,0,0,7.43,1.06,3.19,111.51,0,0,3.19,0,0,3.19,1.06,13.81,0,1.06,2.12,2.12,0
 96-106,0,0,3.28,0,0,344.25,0,1.09,1.09,21.86,2.19,3.28,0,1.09,0,0,2.19,1.09,4.37,1.09,1.09,103.82,0,0,1.09,0,0,0,0,9.84,3.28,0,1.09,0,0
108-118,0.77,0,0.77,0,1.53,244.34,0,0,0.77,14.55,0.77,0,0,0,0.77,0,0.77,0,4.6,0,0.77,79.66,0.77,1.53,3.06,0,0.77,1.53,0,3.06,1.53,0,0,0.77,0
120,0,1.96,0,1.96,0,154.82,1.96,0,0,27.44,0,0,0,0,1.96,0,0,0,3.92,0,1.96,150.9,0,0,5.88,0,0,0,0,27.44,0,0,0,0,1.96
