stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,12.26,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,49.95,7.89,0,47.32,0,0,36.8,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,249.73,34.17,0,0,118.29,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,28.32,0,3.15,81.82,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,409.11,31.47,0,0,100.7,0,0,12.59,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,4,4,72,3,22,0,0,0,14,1,1,3,0,0,0,0,0,1,41,0,0,28,298,16,0,5,9,0,0,3,40,11,0,23,161,0,0,0,0,0
 24-34,0,0,0.82,0.82,22.16,0,11.49,0,1.64,2.46,12.31,0,0,3.28,0,0,0,0,0,0,94.4,0,0,33.66,539.3,6.57,2.46,8.21,0,0,2.46,0,0,4.1,0,0.82,235.59,0,0,2.46,0,0
 36-46,0,0,0.81,0,6.45,0,11.28,0,0,1.61,16.92,0,0,2.42,0.81,0,0,0,0,0.81,128.1,0,2.42,20.95,1034.48,5.64,4.03,6.45,0,0,3.22,0,0.81,1.61,0,0,311.79,0,0,4.03,0,0
 48-58,0,0,0,0,9.75,0,59.1,0,1.15,7.46,25.82,0,0,1.72,0,0,0,0,0.57,1.72,193.37,0,3.44,23.53,946.2,3.44,3.44,6.89,0,0.57,1.15,0,0,1.15,0.57,0,231.24,0,0,2.3,0,5.16
 60-70,0.98,0,0,0,7.85,0.98,119.75,0,9.82,10.8,41.22,2.94,0,0,0,0,0.98,0,0,0,235.57,0.98,5.89,23.56,1098.32,3.93,5.89,2.94,0,0,1.96,0,0,0,0.98,0,167.84,0,3.93,0,0.98,3.93
 72-82,0,0,0,0,16.69,0.98,160.99,0,1.96,18.65,49.08,0.98,0,1.96,0.98,0.98,0.98,3.93,0,0,386.77,0,4.91,19.63,1008.17,0.98,6.87,13.74,0,0.98,2.94,0,0,1.96,0,0,93.26,0.98,4.91,4.91,8.83,4.91
 84-94,0,0,2.12,0,25.49,1.06,114.7,0,8.5,13.81,29.74,1.06,0,1.06,0,2.12,0,3.19,0,0,218.78,1.06,11.68,18.05,420.57,8.5,0,7.43,0,2.12,2.12,0,0,3.19,0,0,52.04,0,12.74,4.25,7.43,5.31
 96-106,0,0,3.28,0,25.14,1.09,96.17,0,4.37,8.74,32.79,0,0,1.09,1.09,1.09,1.09,2.19,1.09,2.19,193.43,3.28,9.84,15.3,373.75,2.19,4.37,12.02,0,3.28,5.46,0,0,2.19,0,0,26.23,0,3.28,6.56,2.19,4.37
108-118,0,0,0.77,0,26.04,0.77,64.34,0.77,4.6,11.49,29.11,1.53,0,1.53,0.77,0.77,0.77,0.77,0,0.77,153.96,0.77,3.83,7.66,447.32,6.89,2.3,12.26,0,3.06,0,0,0,4.6,0,0,16.85,1.53,2.3,3.06,1.53,3.83
120,1.96,0,0,0,23.52,0,52.91,0,3.92,5.88,27.44,3.92,0,0,0,0,0,3.92,3.92,0,94.07,0,9.8,3.92,399.8,5.88,5.88,7.84,0,1.96,0,0,0,3.92,0,0,11.76,0,5.88,7.84,1.96,1.96
