stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,527.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,10.51,0,0,39.43,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,391.68,15.77,0,0,162.98,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,25.18,0,3.15,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.61,3.15,0,0,94.41,0,0,0,12.59,3.15,0,0,0,0,0
 14-21,0,0,0,2,20,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,5,53,1,0,1,0,0,1,13,0,8,25,0,1,0,0
 24-34,0,0,0,0.82,9.85,0,7.39,0,0,6.57,0,0,0,0,1.64,0,0,0.82,22.98,0,0,5.75,132.98,2.46,3.28,4.93,0,0.82,5.75,0,3.28,2.46,43.51,0,1.64,0,0.82
 36-46,0,0,0,0,6.45,0,9.67,1.61,2.42,4.03,0,0,0.81,0,0,0,0,0,12.09,0,0,7.25,128.1,0.81,0.81,0.81,0,0.81,5.64,0,0,0,33.03,0,0,0,0
 48-58,0,0,0,0,1.72,0,20.08,0,0.57,9.75,0,0,0,0.57,0.57,0,0.57,0,9.18,0,1.15,2.87,110.74,0,2.3,1.15,0,0,1.72,0,1.72,0,25.82,0,1.15,0,1.15
 60-70,0,0,0,0,5.89,0,26.5,2.94,1.96,11.78,0,0,0,0,0,0,0.98,0,20.61,0,0,0.98,84.41,0,0,1.96,0,0,1.96,0,0,0,18.65,0,0,0,0
 72-82,0,0,0,0,3.93,0,40.25,0,0.98,12.76,1.96,0,0,1.96,0,0,0.98,0,15.71,0,0.98,4.91,71.66,0,1.96,1.96,0,0,0,0,0,0,8.83,0.98,0,0,0
 84-94,0,0,0,0,9.56,0,21.24,0,2.12,9.56,2.12,0,0,2.12,0,0,0,0,21.24,0,0,3.19,32.92,1.06,0,1.06,0,0,2.12,0,1.06,0,2.12,2.12,1.06,0,0
 96-106,0,0,0,0,5.46,0,16.39,0,2.19,6.56,2.19,0,1.09,0,1.09,1.09,0,1.09,16.39,1.09,0,0,29.51,0,2.19,2.19,0,1.09,3.28,0,0,0,5.46,0,2.19,0,0
108-118,0,0,0.77,0,3.83,1.53,18.38,0,3.06,9.19,0.77,0,0.77,1.53,0,0.77,0.77,0,16.85,0,1.53,2.3,32.17,0,4.6,2.3,0,0,2.3,0,0.77,0,2.3,0.77,0.77,0.77,0.77
120,0,0,0,0,1.96,0,11.76,1.96,0,5.88,3.92,0,0,1.96,0,0,0,0,21.56,0,0,0,39.2,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0
