stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,65.72,2.63,0,0,42.06,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,116.44,0,0,0,25.18,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,14,0,0,0,3,0,0,0,2,0,1,3,2,0,1,0,0
 24-34,0,0,0.82,0.82,1.64,0,8.21,0,0,0,0.82,0,0,0.82,0,0,1.64,0,0,8.21,0,0.82,5.75,27.91,2.46,0,0,0,0,0.82,0,0,0,0,0.82,3.28,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,5.64,0,0,0,1.61,0,0,0.81,0.81,0,0.81,0,0,11.28,0,0.81,4.83,34.64,0.81,0,0,0,0,1.61,0.81,0.81,0,0,0,4.03,0,2.42,0,0
 48-58,0,0,0.57,0,0.57,0,6.89,0,0,0,4.59,0.57,0,0.57,0.57,0,0,0,0,18.94,0,0,2.3,32.71,1.15,0,0.57,0,0,1.15,0,0,0,0,0,3.44,0,0,0,1.15
 60-70,0,0,0,0,0.98,0,15.7,0,0.98,0.98,3.93,0,0,0,0,0,0,0,0,21.59,0,0,3.93,51.04,0,0.98,0,0,0.98,0.98,0,0,0,0,0,3.93,0.98,0.98,0,0
 72-82,0,0,0.98,0,2.94,0,13.74,0.98,0,0,11.78,0,0,0,0,0,0,0.98,0,28.47,0.98,0.98,1.96,47.12,0,0,0.98,0,1.96,0,0,0,0,0.98,0,1.96,2.94,0.98,0,1.96
 84-94,0,0,0,0,4.25,0,13.81,0,0,1.06,6.37,0,1.06,1.06,4.25,0,0,0,0,26.55,0,2.12,4.25,19.12,1.06,1.06,3.19,0,1.06,1.06,0,0,1.06,0,0,4.25,0,1.06,1.06,0
 96-106,0,0,0,0,3.28,0,2.19,1.09,0,1.09,12.02,1.09,0,1.09,3.28,1.09,2.19,0,1.09,26.23,0,3.28,0,21.86,3.28,1.09,1.09,0,0,1.09,0,0,0,0,0,1.09,0,2.19,0,0
108-118,0,0,0,0,1.53,0,6.89,0,1.53,0.77,6.13,1.53,0,0.77,0,1.53,0.77,0,0,23.74,0,0.77,0.77,26.81,2.3,2.3,1.53,0,2.3,2.3,0,0,0,0,0,0.77,0,1.53,0,0.77
120,0,0,0,0,7.84,0,7.84,0,0,0,7.84,0,0,0,0,1.96,0,0,0,13.72,0,1.96,0,21.56,1.96,1.96,1.96,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0
