stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,128,0,3,0,0,0,1,1,0,0,74,0,0,0,0,0
 24-34,0,0,3.28,0.82,0,0,8.21,0,0,0,1.64,0,0,0,0,0,0,0,0,0,4.1,0,0,2.46,872.57,0,29.55,0,0,0,2.46,0,0.82,0,297.15,0,0,0.82,0,0
 36-46,0,0,0.81,1.61,0,0,75.73,0,0,0.81,8.86,0,0,0,0,0,0,0,0,0,5.64,0,0,0.81,2267.96,0,55.59,0,0,0,3.22,0,0.81,0.81,519.66,0,0,0.81,0,0
 48-58,0,0,0,6.89,0.57,0,318.46,0,1.15,1.72,29.84,0,0,0.57,0,0,0,0,0,1.15,15.49,0,1.15,2.3,2636.63,0,32.71,1.15,0,0,1.72,0,0,0.57,537.66,0,0.57,0,0,2.87
 60-70,0,0,1.96,5.89,0,0,891.22,0.98,0.98,2.94,46.13,0,0.98,0.98,1.96,0,0,0,0,0,24.54,0,0.98,0.98,3788.67,0.98,31.41,1.96,0,0,5.89,0,0.98,0.98,544.74,0,1.96,0,0.98,0
 72-82,0,0,2.94,12.76,6.87,0,983.63,0,0.98,0,58.9,0.98,0,0,0.98,0.98,0.98,0,0.98,3.93,27.49,0,0.98,0.98,3273.84,0.98,60.86,3.93,0,0,1.96,0,0,0,328.86,0,1.96,1.96,2.94,2.94
 84-94,0,0,1.06,19.12,0,0,652.09,0,3.19,1.06,66.91,0,0,0,3.19,0,2.12,1.06,0,0,38.23,0,0,3.19,1634.48,0,53.1,2.12,0,0,3.19,0,1.06,0,182.67,2.12,1.06,2.12,1.06,1.06
 96-106,0,0,3.28,17.49,6.56,0,534.4,0,0,0,59.01,1.09,0,0,3.28,1.09,1.09,1.09,2.19,0,30.6,0,1.09,1.09,1331.09,0,63.39,1.09,0,1.09,6.56,0,0,0,85.24,1.09,2.19,2.19,1.09,0
108-118,0,0,1.53,16.09,3.83,0.77,403.66,0,0,3.06,58.98,1.53,0,0,0.77,0,2.3,0,1.53,0.77,16.09,0,0.77,1.53,1482.9,0,42.13,1.53,0,1.53,6.89,0,0,0,67.4,2.3,0.77,3.06,0.77,0.77
120,0,0,0,31.36,3.92,1.96,413.51,1.96,1.96,3.92,80.35,1.96,0,0,3.92,3.92,0,0,0,0,27.44,3.92,0,0,1724.61,1.96,60.75,1.96,0,0,7.84,0,0,0,96.03,0,0,3.92,1.96,3.92
