stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,5.26,0,0,0,0,0,0,52.57,2.63,0,0,15.77,0,0,0,0,0,0
 10-12,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,75.53,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,5,0,0
 24-34,0,0,2.46,0,4.93,0,0.82,0,0,0,0,3.28,0,2.46,45.15,0,0.82,0,0,0.82,0,0.82,8.21,0,0
 36-46,0,0,1.61,0,1.61,0,0.81,0,0,0.81,0.81,1.61,1.61,0.81,40.28,0,0.81,0,0,0,0,0,5.64,0,0
 48-58,0,0,0.57,0,9.75,1.15,2.87,0,0,0,0,2.87,0,0.57,35,0,0.57,0,0,1.72,0,0,6.31,0,0
 60-70,0,0,0.98,0,16.69,0,0.98,0,0,0,0,5.89,0,0,37.3,0,0.98,0,0,0.98,0.98,0,8.83,0,0
 72-82,0,0,0,0,8.83,0,0.98,0,0.98,0,0,9.82,0,0,36.32,0,0,0,0,0,0,0,3.93,0,0.98
 84-94,0,0,1.06,0,5.31,1.06,0,0,0,0,0,7.43,0,0,21.24,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,5.46,0,4.37,0,0,0,0,4.37,0,0,19.67,0,0,1.09,0,1.09,0,0,0,1.09,1.09
108-118,0,0,2.3,0,5.36,0,1.53,0,0,0,0,2.3,0.77,0.77,14.55,0,0,0,0,0.77,0,0,0.77,0.77,0
120,0,0,1.96,1.96,3.92,0,5.88,0,0,0,0,1.96,0,0,23.52,1.96,0,0,0,1.96,0,0,0,0,0
