stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1,0,0,0,34,0,0,0,0,0,0,1,0,0,1,11,0,0,0,0
 24-34,0,0.82,0,0,28.73,0,4.1,0.82,0,0,0,0,0,0,1.64,0,0,1.64,69.77,0,0,1.64,0,0,1.64,0,4.93,0,0,16.42,0,0,0,0
 36-46,0,0.81,0,0,34.64,0,10.47,0,0,0,0,0.81,0,0.81,5.64,0,0,0,85.4,0.81,0,2.42,0,0,0,0,1.61,0,0,20.95,0,0.81,0,0
 48-58,0,0.57,0,0,39.59,1.15,28.12,0,0,0,0,0,0,0,3.44,0,0.57,0.57,40.17,0.57,0,1.72,0,0,0.57,0,0,0,0,25.82,0,0,0,0.57
 60-70,0,0,0,0,63.8,0,65.76,0,0,0,0,0,0,0,8.83,0,0,0.98,33.37,0,0,5.89,0,0,1.96,0,0,0,0,17.67,0,1.96,0,0
 72-82,0,4.91,0,0,84.42,0,88.35,0,0.98,0,0,0,0,0,12.76,0,0,0.98,26.5,0,0,7.85,0,0.98,1.96,0,0,0,0,6.87,0,0.98,1.96,0.98
 84-94,0,0,0,0,156.12,0,58.41,0,0,1.06,0,0,0,0,1.06,0,1.06,1.06,16.99,0,0,5.31,0,0,3.19,0,0,1.06,0,9.56,0,0,0,0
 96-106,1.09,3.28,0,0,148.63,0,71.04,1.09,1.09,1.09,0,0,0,0,10.93,0,0,0,16.39,0,0,10.93,0,0,6.56,0,0,0,0,8.74,0,0,0,1.09
108-118,0,1.53,1.53,0.77,166.21,0.77,57.45,0,0,0,1.53,0,0.77,0,9.96,0.77,0.77,0,24.51,0,0.77,9.19,0,0,0,0,0.77,0.77,0,3.06,0.77,1.53,0,0
120,0,0,0,0,72.51,0,56.83,0,0,0,0,0,0,0,7.84,0,0,1.96,25.48,0,0,15.68,0,0,3.92,0,0,0,0,3.92,0,0,0,0
