stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
 24-34,1.64,0,1.64,1.64,2.46,0,0,0,0,0,0.82,0,0.82,0,0,5.75,4.1,0,0,0,0,0,0.82,22.98,0.82,0,0,0,0,0
 36-46,1.61,0,1.61,16.92,2.42,0,2.42,0,0,0,0,0,0.81,0,0,1.61,16.11,0,0,0,1.61,0,0,31.42,0,4.03,0,0,0,0
 48-58,1.72,0,8.03,17.79,1.15,0.57,1.15,0,0,0.57,0,0.57,4.02,0.57,0,4.59,18.36,0.57,0,0.57,0.57,0,0,46.48,0,2.87,0,0.57,0,0
 60-70,3.93,0,8.83,27.48,3.93,0,0.98,0,0,0,0,0,2.94,0,0,4.91,6.87,0,0,0.98,0,0,0,25.52,0,1.96,0,0,0,0
 72-82,4.91,0.98,5.89,6.87,2.94,0,1.96,0,0,0,0,0,0.98,0,0,1.96,12.76,0,0.98,0,0,0,0,9.82,0,0,0.98,0,0.98,0
 84-94,5.31,1.06,2.12,7.43,7.43,0,0,2.12,0,0,0,0,2.12,0,0,3.19,4.25,0,0,0,1.06,0,0,24.43,0,0,0,1.06,0,1.06
 96-106,7.65,1.09,0,13.11,6.56,0,0,0,0,0,0,0,0,0,1.09,0,3.28,0,1.09,0,1.09,0,0,38.25,0,0,0,0,1.09,0
108-118,2.3,0,1.53,16.09,12.26,0,0,0,0.77,0,0,0,2.3,0,0,0.77,5.36,0,0,0,0,0,0,29.87,0,0,0,0,0,0
120,9.8,0,0,11.76,9.8,0,0,0,0,0,0,0,1.96,0,0,5.88,3.92,0,0,0,0,1.96,0,17.64,0,0,0,0,0,0
