stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,18,0,0,21,0,0,0,2,0,0,0,0,3,0,0,4,0,0,156,12,3,1,1,0,0,2,0,1,12,29,0,0,0,0,0
 24-34,0,0,0.82,10.67,0,0,104.25,0.82,0,0.82,1.64,0.82,2.46,0,0,21.34,0,0,6.57,0,4.1,691.98,1.64,16.42,4.93,0,0,0,0,1.64,0.82,4.1,94.4,0,0,2.46,0,0
 36-46,0,0,0,4.83,0,0,299.71,4.83,0,0,34.64,0,0.81,0,0,12.89,0,0.81,2.42,0,4.83,700.93,5.64,18.53,0,0,0,0,0,0,0,0,145.83,0,0,1.61,0,0
 48-58,0,0,0,2.87,0,0,354.04,1.72,0.57,1.15,51.07,0,0,0,0,8.61,0,0,3.44,0,5.16,315.02,4.02,6.31,2.87,0,0,0.57,0,0,0.57,0,88.94,0,0,0,0,0.57
 60-70,0,0,0,2.94,0,0,347.46,2.94,0,0.98,36.32,0,0,0,0,7.85,0,0,4.91,0,5.89,193.36,3.93,5.89,1.96,0,0,0,0,0,0,0,39.26,0,0,0.98,0,0.98
 72-82,0,0,0,7.85,0,0,249.34,0.98,0,0,27.49,0.98,0,0.98,0,9.82,0,0,43.19,0,5.89,237.56,0,2.94,1.96,0,0,0,0,0,0,0,16.69,0.98,0,0.98,0,0.98
 84-94,0,2.12,0,8.5,0,0,179.48,3.19,1.06,0,15.93,2.12,0,0,1.06,7.43,1.06,0,22.3,0,3.19,157.18,2.12,2.12,2.12,0,0,1.06,0,0,0,0,12.74,0,1.06,0,0,0
 96-106,0,2.19,0,7.65,0,0,149.72,1.09,1.09,0,16.39,4.37,1.09,0,0,10.93,1.09,0,18.58,1.09,6.56,148.63,1.09,3.28,2.19,0,0,0,0,0,0,0,4.37,1.09,0,0,2.19,0
108-118,0,0.77,0,8.43,0.77,0.77,115.66,3.83,0,0,16.85,0,0,0,0,6.13,0.77,0,26.81,0.77,11.49,160.85,4.6,6.13,4.6,0,1.53,0.77,0,0,0,0,2.3,0,0,0,0,0
120,0,0,0,5.88,0,0,96.03,1.96,1.96,0,13.72,3.92,0,0,0,9.8,0,0,25.48,1.96,9.8,168.54,7.84,7.84,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0
