stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,21,5,12,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,61,3,0,1,4,0,0,10,0,19,20,0,0,0,0,0
 24-34,0,0,0,0.82,49.25,0.82,25.45,0.82,1.64,0,0,0,0,0.82,0,0,0,0,10.67,0,0,2.46,123.95,0,0,0.82,0.82,0,0.82,0,0,1.64,14.78,0,0,0.82,0,1.64
 36-46,0,0,0,0,15.31,0,16.92,4.03,0,5.64,1.61,0,0,0,0,0,0.81,0,11.28,0,0,4.83,74.12,0,0.81,0,0,0,0,0,0,0,13.7,0,0,1.61,0,0
 48-58,0,0,0,0,14.35,0,37.3,5.16,0.57,9.18,0,1.15,0.57,0.57,0,0.57,0,0,9.75,0.57,0.57,2.87,59.68,0,0,0.57,0,0,0,0,0,0,12.62,0,0,0,0,0.57
 60-70,0,0,0,0,20.61,0,23.56,7.85,0.98,6.87,0.98,0.98,0.98,0,0,0,0,0,15.7,0,0.98,4.91,22.58,0,0,0.98,0,0.98,0.98,0,0,0,6.87,0,0,0,0,0
 72-82,0,0,0.98,0,16.69,0,26.5,5.89,0,4.91,3.93,0,4.91,1.96,0,0.98,0,0,33.38,0,0,5.89,56.94,0,0,0.98,0,0,0.98,0,0,0,4.91,0,0,0.98,1.96,0
 84-94,0,0,0,0,31.86,0,14.87,9.56,0,3.19,1.06,0,3.19,2.12,1.06,0,0,1.06,13.81,0,1.06,0,24.43,0,0,0,0,0,0,0,0,0,1.06,1.06,0,2.12,0,0
 96-106,0,0,0,0,44.81,1.09,10.93,13.11,2.19,6.56,4.37,1.09,8.74,2.19,0,0,1.09,0,26.23,0,1.09,6.56,21.86,0,3.28,1.09,0,1.09,2.19,0,1.09,0,1.09,1.09,0,1.09,1.09,0
108-118,0,0,0,0,61.28,0.77,14.55,19.92,1.53,4.6,3.06,0,1.53,1.53,0.77,0.77,0,0,36.77,0.77,0.77,6.13,30.64,0,0.77,1.53,0,0,0.77,0,0.77,0,0,1.53,0,3.06,0.77,1.53
120,0,0,0,0,37.24,0,5.88,11.76,0,3.92,1.96,0,3.92,0,1.96,0,0,0,23.52,0,0,5.88,13.72,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0
