stage,blastomeres,endoderm,eye,glial,gut,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,3.28,0,0,0,0,0.82
 36-46,0,0,1.61,0,0,0,0,0,0,0,5.64,0,0,0,0,0
 48-58,0,0,0.57,0.57,1.15,0.57,0,0,0,0,5.74,0.57,0,0,0,0.57
 60-70,0,0,4.91,0,0.98,0,0,0,0,0,11.78,1.96,0,0,0,0
 72-82,0,0,2.94,0,5.89,0,0,0.98,0,0,10.8,1.96,0,0,0,0
 84-94,0,0,4.25,0,7.43,0,1.06,0,0,0,4.25,2.12,0,0,0,0
 96-106,0,0,5.46,0,16.39,0,0,1.09,0,0,8.74,0,1.09,0,0,0
108-118,0,0,2.3,1.53,19.15,0,0.77,0,0.77,0,9.19,0.77,0,0,0,0
120,0,0,0,1.96,23.52,0,1.96,0,0,1.96,3.92,1.96,0,0,0,0
