stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,13.14,0,0,0,0,39.43,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,375.91,18.4,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,0,0,3.15,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664.01,15.73,0,0,78.67,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,1,6,4,18,0,0,0,24,0,0,1,0,2,0,0,0,42,0,0,26,1071,0,2,31,5,0,0,8,3,1,13,299,0,0,1,0,1
 24-34,0,0,2.46,0.82,4.93,0,21.34,0,0,0,25.45,0.82,0,0,0.82,6.57,0,0,0,177.3,0,0,45.97,1512.84,0,2.46,7.39,0,0,2.46,0,4.1,0,4.93,380.88,0,0,4.93,0,0
 36-46,0,0,0,0,0,0,24.98,0,0.81,4.83,61.23,0,0,1.61,0.81,17.72,0,0,3.22,262.65,0,1.61,29,1451.82,0.81,4.03,0.81,0,0,0.81,0,0.81,0,0,354.49,0,0,0.81,0,1.61
 48-58,0,0,0,0,1.72,0,56.81,0,0.57,4.02,75.17,0,0,1.15,0,17.79,0,0,0,477.41,0,2.3,16.07,852.67,0,2.87,2.3,0,0.57,2.3,0,0,0,0,185.34,0,2.87,0.57,0,1.72
 60-70,0,0,0,0,1.96,0.98,87.36,0,0,0.98,46.13,0,0,0,0,27.48,0,0,0,483.89,0,7.85,19.63,777.37,0.98,1.96,3.93,0,10.8,0,0,0,0,0,71.65,0,4.91,1.96,2.94,0
 72-82,0,0,0,0,8.83,1.96,129.58,0.98,0,9.82,83.44,1.96,0,0.98,4.91,28.47,0,0.98,0.98,571.33,0.98,14.72,22.58,720.54,0,10.8,6.87,0,19.63,0,0,0,0,0,42.21,0,12.76,4.91,4.91,0
 84-94,0,0,1.06,0,12.74,1.06,103.02,1.06,0,4.25,38.23,1.06,0,0,2.12,37.17,0,0,0,367.46,0,18.05,26.55,401.45,1.06,3.19,4.25,0,18.05,5.31,0,2.12,2.12,0,42.48,1.06,6.37,2.12,4.25,0
 96-106,0,0,1.09,0,8.74,4.37,95.08,3.28,2.19,7.65,52.46,0,0,0,4.37,51.36,1.09,3.28,1.09,275.4,0,14.21,16.39,378.12,0,1.09,10.93,0,37.16,4.37,0,0,0,0,13.11,1.09,8.74,1.09,6.56,0
108-118,0,0,0,0,7.66,1.53,44.43,0.77,0,5.36,41.36,0.77,0,0,1.53,40.6,0.77,0,0,225.96,0.77,16.09,33.7,448.85,0,5.36,3.06,0,43.66,0,0,1.53,0,0,7.66,0,4.6,4.6,6.89,0
120,0,0,0,0,13.72,3.92,58.79,5.88,1.96,0,31.36,0,0,0,0,33.32,0,1.96,0,182.26,0,0,29.4,419.39,1.96,3.92,1.96,1.96,39.2,1.96,0,3.92,0,0,15.68,0,3.92,1.96,5.88,0
