stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,79.69,570.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,6.13,12.26,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,7.89,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,134.06,5.26,0,0,44.69,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,3.15,0,0,28.32,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,8,3,0,3,0,0,0,1,0,0,0,0,0,0,0,8,0,1,41,2,0,0,2,1,9,0,7,12,0,0,0,0
 24-34,0,0,0,3.28,0,0,6.57,0,0,0,0.82,0,0,0,0,0,0,0.82,4.93,0,0.82,32.83,0,0,0.82,0,1.64,0,0,0,5.75,0,0,0,0
 36-46,0,0,0,0,0,0,9.67,0,0,0,1.61,0,0,0,0,0,0,0,8.06,0.81,0,36.26,0,0.81,1.61,0,0.81,0,0,0,5.64,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,6.31,0,0,0,2.3,0,0,0,0,0,0,0,6.89,0.57,2.3,14.92,0.57,0,0.57,0,0,0,0.57,0,3.44,0,0,0,0
 60-70,0,0,0,0.98,0,0,4.91,0.98,0,0,4.91,0.98,0,0,0,0,0,0,3.93,0.98,1.96,10.8,0,0,0,0,0,0,0.98,0,1.96,0,0.98,0.98,0
 72-82,0,0,0,0,0,0,5.89,0,0.98,0,3.93,0,0,0.98,0.98,0,0,0,11.78,0,0.98,8.83,0.98,0,0,0,0,0,0,0,3.93,0,0,0,0
 84-94,0,0,0,2.12,0,1.06,4.25,0,0,2.12,2.12,1.06,0,1.06,1.06,0,1.06,0,5.31,0,1.06,4.25,0,1.06,3.19,0,0,0,1.06,0,0,1.06,0,1.06,0
 96-106,0,0,0,1.09,0,0,1.09,0,0,0,4.37,0,0,0,0,0,0,1.09,3.28,0,1.09,6.56,0,0,0,0,3.28,0,0,0,0,0,0,0,1.09
108-118,0,0,0,2.3,0,0,0.77,0,0.77,0,0.77,1.53,0,0,0,1.53,0,0,2.3,0,0.77,3.06,0,0.77,1.53,0,1.53,0,0,0,0,0,0,0.77,0
120,0,0,0,5.88,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,5.88,0,3.92,5.88,0,0,0,0,1.96,0,0,0,0,0,0,0,0
