stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,14,2,0,6,0,1,0,1,0,1,1,0,0,0,0,0,0,2,0,0,2,39,0,0,0,0,0,8,6,0,0,7,22,0,2,0,0
 24-34,0,0,0,0,4.93,0,0,9.85,0,0.82,0.82,2.46,1.64,0,0.82,0,3.28,0,0.82,0,0,6.57,0,0,4.93,137.08,0,3.28,1.64,0,0,19.7,0,0,0,0.82,41.04,0,1.64,0,0.82
 36-46,0,0,0,0,3.22,0,0,27.39,0,1.61,0,3.22,0,0,0,0,0.81,0,0.81,0,0.81,12.09,0,0,2.42,128.91,0,1.61,0,0,0,11.28,0,1.61,0,0,37.87,0,0,0,3.22
 48-58,0,0,0,0,2.3,0,0,68.28,0.57,0.57,1.15,5.74,0.57,0,0,0,0,0.57,0.57,0,0,11.48,0,0,3.44,122.22,0,1.72,1.72,0,0,4.59,0,0.57,0,0,25.82,0,0.57,0,1.72
 60-70,0,0,0,0,2.94,0,0,134.47,0,0,1.96,6.87,0,0,0,1.96,0,0,0.98,0,0,10.8,0,0,2.94,106.99,0,2.94,0,0,0.98,13.74,0,0.98,0,0,19.63,0,0.98,0,1.96
 72-82,0,0,0.98,0,5.89,0.98,0,126.63,0.98,0.98,0,14.72,3.93,0,0,0.98,2.94,0,0,0.98,0,32.39,0.98,1.96,2.94,115.84,0,1.96,1.96,0,0,11.78,0,0,0,0,5.89,0.98,3.93,0,0
 84-94,0,0,2.12,0,5.31,1.06,0,79.65,0,2.12,0,9.56,2.12,0,0,3.19,2.12,0,0,1.06,0,13.81,0,0,4.25,62.66,1.06,0,3.19,0,0,32.92,0,0,0,0,5.31,1.06,3.19,2.12,1.06
 96-106,0,0,1.09,0,13.11,1.09,1.09,83.06,0,0,0,6.56,3.28,0,2.19,3.28,2.19,1.09,2.19,0,0,14.21,1.09,1.09,4.37,49.18,2.19,1.09,3.28,0,1.09,32.79,0,1.09,0,0,5.46,3.28,3.28,3.28,0
108-118,0,0,0,0,9.96,0.77,0.77,55.15,0,1.53,0.77,7.66,3.83,0,0,3.83,2.3,0.77,0.77,0,0,6.89,0.77,0,0,62.81,1.53,2.3,0,0,0,21.45,0,0.77,0.77,0,2.3,3.06,1.53,0,1.53
120,0,0,0,0,7.84,0,0,37.24,0,0,0,3.92,5.88,0,0,1.96,0,0,0,0,0,9.8,0,0,1.96,54.87,0,0,0,0,1.96,13.72,0,0,0,0,3.92,1.96,0,1.96,0
