stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,263.57,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,12.26,0,0,12.26,0,12.26,0,0,0,0,0,0,0
  7-9,5.26,21.03,0,10.51,0,0,0,57.83,0,0,0,0,0,7.89,0,0,0,0,0,0,0,276.01,5.26,0,63.09,0,2.63,0,0,0,0,0,0,0
 10-12,0,15.73,0,3.15,0,0,0,28.32,0,0,0,0,0,6.29,0,0,0,0,0,0,0,251.76,0,0,81.82,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,6,5,2,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,29,1,1,0,0,0,1,33,3,10,0,1,0
 24-34,0,0,1.64,4.93,2.46,0,0,6.57,0,0,0,0,7.39,0,0.82,0,10.67,0.82,3.28,0,0.82,36.94,0,0,0,0,0,0,38.58,0,2.46,0,0,4.93
 36-46,0,0,0,0,0.81,0,0,4.83,0,0,0,0.81,2.42,0,0.81,1.61,3.22,0.81,2.42,0,0.81,16.11,0,0,0,0,0.81,0,20.95,0,2.42,0,0,11.28
 48-58,0,0,1.15,0,1.15,0,0,4.59,0,1.15,0,1.15,4.02,0,0,1.72,12.05,1.72,1.15,0,1.15,13.77,0,0,0,0,1.15,0,5.74,0,1.72,0,0.57,10.9
 60-70,0,0,0.98,0,0,0,0,11.78,0.98,0,0.98,0.98,4.91,0,0,5.89,23.56,0,1.96,0.98,0.98,10.8,0,0.98,0,0,0.98,0,9.82,0,3.93,0,0,9.82
 72-82,0,0,7.85,0,0.98,0.98,4.91,4.91,0,0,0,0,30.43,0,0,0.98,24.54,0,4.91,0,0.98,22.58,0,0.98,0,0,0,0,4.91,0,0.98,0,0,8.83
 84-94,0,0,6.37,2.12,3.19,0,10.62,11.68,0,0,0,0,28.68,0,0,14.87,70.09,0,1.06,1.06,0,12.74,0,0,0,0,3.19,0,11.68,0,0,0,2.12,5.31
 96-106,0,0,6.56,1.09,0,0,5.46,12.02,0,1.09,0,0,26.23,0,2.19,5.46,21.86,0,3.28,0,0,24.04,0,0,0,0,4.37,0,9.84,0,1.09,1.09,0,3.28
108-118,0,0,3.06,0.77,0.77,0.77,18.38,6.89,0,0,0,1.53,17.62,0,0,7.66,37.53,0,6.13,0,2.3,15.32,0,0.77,0,0.77,4.6,0,3.83,0,0,0,0,4.6
120,0,0,0,1.96,3.92,3.92,9.8,9.8,0,0,0,1.96,25.48,0,1.96,5.88,29.4,0,5.88,0,3.92,15.68,1.96,0,0,0,5.88,0,7.84,0,0,0,0,1.96
