stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,0,0,7.89,0,2.63,0,0,0,47.32,5.26,13.14,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,6.29,3.15,0,0,154.2,3.15,50.35,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0.82,0,11.49,0,0,0,0,1.64,0
 36-46,0,0,0.81,0,3.22,0,0,0,0,0.81,11.28,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,5.16,0.57,0,0,0,1.72,0
 60-70,0,0,0,0,2.94,0,0,0,0.98,0,8.83,0,0,0.98,0,0.98,0
 72-82,0,0,0.98,0,0.98,0,0,0,0,0,9.82,0,0,0.98,0,1.96,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,8.5,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.19,0,2.19,0,0,1.09,0,1.09,0
108-118,0,0,1.53,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0
