stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,15.73,0,6.29,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,2.42,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,0,0,0,3.28,1.09,0,1.09,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0.77,0.77,0,0.77,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0
