stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,39.43,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,50.35,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,37,3,1,0,0,0,1,1,0,19,1,0,0,1,0,0,1,17,0,0,0,16,14,0,6,0,0,1,7,0,0,1,0,0
 24-34,0,0,0,3.28,0.82,2.46,0,0,0,0.82,0,0,67.31,0.82,0,0,2.46,0.82,0,0.82,21.34,0,2.46,0,0,9.85,0,0,0,0,0.82,6.57,0,0,0.82,0,0
 36-46,0,0,0,1.61,0,12.09,0,5.64,0,0.81,0,0.81,114.41,0.81,0,0,3.22,0,0,1.61,31.42,0,1.61,0,0,10.47,0,0,0,0.81,0,10.47,0,0,1.61,0,0
 48-58,0,0,0,0.57,1.15,6.89,0,1.15,0.57,2.87,0,0,122.79,0,0,0,5.16,1.15,0,0,17.21,0,0,0.57,0,4.59,0,0,0,0,0,1.15,0,0,0,0,1.15
 60-70,0,0,0,0.98,0,14.72,0.98,4.91,0.98,2.94,0.98,0,144.28,0,0,0.98,5.89,0,0,0.98,21.59,0,0.98,0,0,4.91,0,0,0,0,0,2.94,0,0,1.96,0,0
 72-82,0,0,0,1.96,0,4.91,0,0,0.98,1.96,9.82,0.98,172.77,0,0.98,0,3.93,0,0,1.96,16.69,0,1.96,0,0,2.94,0,0,0,0,0,0.98,0,0,2.94,0,0.98
 84-94,0,0,1.06,1.06,2.12,3.19,0,1.06,0,0,6.37,0,268.7,0,0,0,5.31,0,0,0,6.37,0,1.06,1.06,0,2.12,0,0,0,0,0,1.06,2.12,1.06,0,1.06,1.06
 96-106,0,0,1.09,6.56,0,6.56,1.09,2.19,2.19,3.28,20.76,0,316.93,0,4.37,0,3.28,1.09,0,0,15.3,0,1.09,0,0,8.74,0,0,0,0,0,0,1.09,0,3.28,1.09,0
108-118,0,0,0,10.72,0.77,6.13,0,3.06,0,0.77,16.09,0.77,258.13,0.77,0,1.53,8.43,0,2.3,0.77,14.55,0,1.53,0,0,15.32,0,0,0,0,0,0.77,0.77,0,4.6,0,0.77
120,0,0,0,0,3.92,0,0,1.96,0,0,11.76,0,309.65,0,1.96,0,3.92,0,1.96,1.96,27.44,1.96,3.92,3.92,0,3.92,0,0,0,0,0,0,0,0,3.92,0,0
