stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,13.14,0,15.77,0,0,0,89.38,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,528.37,13.14,0,0,131.44,0,39.43,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,47.2,0,0,0,69.23,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,802.48,15.73,0,0,132.17,0,9.44,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,3,8,137,3,0,5,0,1,0,0,5,0,1,0,3,0,0,0,0,5,0,0,5,57,3,2,6,4,0,46,3,17,4,14,12,0,0,2,0,0
 24-34,0,0,2.46,4.1,68.13,0,0,6.57,0,7.39,0,0.82,1.64,0,0.82,2.46,9.03,0,0.82,1.64,0,11.49,2.46,0,6.57,52.53,4.93,6.57,9.03,0,0,126.41,0,0.82,5.75,1.64,4.1,0,0,18.88,0,0
 36-46,0,0,0,0.81,31.42,0,0,4.83,0,5.64,0,2.42,3.22,0,1.61,6.45,4.83,0,2.42,0.81,0,12.09,0.81,0,0.81,27.39,3.22,4.03,6.45,0,0,117.63,0.81,0,3.22,0,1.61,0,0,12.09,0,0
 48-58,0,0,1.15,0,26.97,0.57,0,29.26,0,13.2,0,2.3,2.3,0,2.3,5.74,1.72,0,5.16,0.57,0.57,15.49,0.57,0.57,0.57,22.38,3.44,2.87,4.02,0,0,71.73,0,0,1.15,0,0.57,0,0,5.16,0,0.57
 60-70,0,0,0,0,47.11,0.98,0,161.95,0,9.82,0.98,3.93,9.82,0.98,2.94,15.7,2.94,0,4.91,0.98,0,16.69,4.91,0,0.98,19.63,0.98,1.96,3.93,0,0,79.5,0,0,1.96,0,1.96,0.98,0,10.8,0,0
 72-82,0,0,2.94,0.98,49.08,0.98,0.98,283.7,0,17.67,2.94,9.82,16.69,0.98,1.96,11.78,11.78,0.98,7.85,0.98,0,48.1,8.83,1.96,0.98,31.41,1.96,3.93,10.8,0,0.98,95.22,0,0,0,0,0.98,0,0.98,4.91,0.98,0
 84-94,0,0,2.12,0,86.03,0,1.06,223.03,1.06,31.86,2.12,7.43,39.3,5.31,0,19.12,21.24,1.06,5.31,6.37,1.06,28.68,4.25,2.12,1.06,21.24,2.12,8.5,11.68,0,0,276.13,0,0,3.19,0,3.19,7.43,1.06,7.43,0,0
 96-106,0,0,7.65,0,96.17,3.28,4.37,241.52,2.19,24.04,3.28,7.65,34.97,0,1.09,34.97,19.67,0,7.65,1.09,0,27.32,12.02,1.09,4.37,37.16,5.46,2.19,20.76,0,0,277.58,0,0,0,0,1.09,8.74,1.09,14.21,0,0
108-118,0,0,4.6,0,115.66,0.77,1.53,162.38,0.77,46.72,1.53,7.66,37.53,0,0,13.79,19.92,0.77,6.89,1.53,0,20.68,4.6,0.77,2.3,23.74,4.6,2.3,16.09,0,0,201.45,0,0,2.3,0,0,15.32,1.53,11.49,0,0
120,0,0,1.96,0,107.79,1.96,0,121.51,0,33.32,1.96,3.92,19.6,0,0,31.36,19.6,0,1.96,3.92,0,27.44,7.84,0,1.96,19.6,0,9.8,13.72,0,0,145.02,0,0,3.92,0,0,5.88,0,3.92,0,0
