stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4,1,1,9,0,0,0,0,0
 24-34,0,0,1.64,0,7.39,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,3.28,66.49,0,0,1.64,0,0.82,6.57,0,0,0,15.6,0,0,0.82,0,0.82
 36-46,0,0,0,0,3.22,0.81,0,0,1.61,0,0,0,0,0,0,0.81,3.22,0,0.81,18.53,0,0.81,0,0,0,4.03,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,5.16,1.15,0,0.57,2.87,0.57,0,0,0,0,0.57,0.57,2.3,0,0,14.92,0.57,0,0,0,0,0.57,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,1.96,0,4.91,0,0.98,0,2.94,0,0,0,0,0.98,0.98,0,3.93,0,0,24.54,0,0,0.98,0,0,5.89,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,1.96,0,20.61,0,0,0,2.94,0.98,0,0,1.96,0,0.98,0,9.82,0,0,34.36,0,0,0,0,0,4.91,0,0,0,1.96,0,0.98,0.98,0,0
 84-94,0,0,1.06,0,4.25,0,1.06,0,0,0,0,0,0,0,0,0,3.19,0,0,10.62,0,1.06,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,0,2.19,0,1.09,0,5.46,0,0,0,0,0,0,0,5.46,0,1.09,2.19,0,0,0,0,0,0,0,0,0,1.09,1.09,0,0,1.09,0
108-118,0,0,0.77,0,6.13,0,0,0,3.83,0,0,0.77,0,0,0,0,3.06,0.77,1.53,4.6,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,7.84,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
