stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,otic,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vasculature
 14-21,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2
 24-34,0,0.82,0,0,4.1,0,0,0.82,0,0.82,0,0,1.64,0.82,0,0,0,1.64,0,5.75
 36-46,0,0,0,0,23.36,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,30.99,0,0,0,0,0,0,0,1.72,0,0,0,0,0.57,0,0
 60-70,0,0,0.98,0,44.17,0,0,0,0,0.98,0,0.98,2.94,0.98,0,0,0,1.96,0,1.96
 72-82,0,0,0.98,0,43.19,1.96,0,0,0,2.94,0,0.98,4.91,1.96,0,0,0,0,0.98,1.96
 84-94,2.12,0,1.06,0,49.92,0,0,0,0,0,1.06,0,1.06,2.12,0,0,0,0,0,2.12
 96-106,1.09,0,0,1.09,32.79,0,0,0,1.09,1.09,0,0,3.28,9.84,0,0,0,0,0,5.46
108-118,2.3,0,0.77,0,36,0,0,0,0.77,3.83,0,0,2.3,8.43,0.77,0,0.77,0,0,2.3
120,1.96,0,0,0,29.4,0,1.96,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0
