stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,1,0,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,81.26,0,0,88.65,14.78,18.06,0,0,0,0,0,1.64,2.46,0,0,4.93,0,0
 36-46,0,0,0,0.81,0,2.42,0,0,0,0,0,0,0,0,0,147.44,0,0,121.66,13.7,30.62,0,0,1.61,0,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,8.61,0,2.3,0.57,0,0,0,0,1.15,0,351.74,0,0.57,107.88,17.79,52.22,0,0,0,0,0,0,2.3,0,0,2.3,0,0.57
 60-70,0.98,0,0,0.98,0,13.74,0,0.98,2.94,0,0,0,0,0,0,457.39,0,0,62.82,22.58,53.98,0,0,0,0,0,0,1.96,0,1.96,0,0,0
 72-82,0,0,0,0.98,0.98,29.45,0,4.91,4.91,0.98,0,0,0.98,0,0,698.94,0,0,65.77,30.43,73.62,0.98,1.96,0,0,0,0,1.96,0.98,5.89,1.96,0,0.98
 84-94,0,0,1.06,3.19,1.06,37.17,0,5.31,0,0,0,1.06,0,0,0,451.37,1.06,0,49.92,12.74,99.83,1.06,0,0,0,0,0,1.06,0,9.56,2.12,0,0
 96-106,0,0,0,4.37,0,50.27,1.09,6.56,9.84,0,1.09,0,0,1.09,1.09,561.72,1.09,1.09,30.6,21.86,104.91,2.19,5.46,0,0,0,0,2.19,0,8.74,1.09,1.09,0
108-118,0.77,0.77,0.77,3.06,0,25.28,0.77,3.06,6.89,0.77,0.77,0.77,0,0.77,1.53,504.77,0,0,34.47,22.21,124.85,2.3,0.77,0,0.77,0,0,2.3,0,6.89,0,0,0
120,0,0,0,7.84,0,25.48,0,1.96,1.96,0,0,0,0,0,5.88,368.44,0,3.92,17.64,23.52,137.18,0,1.96,0,1.96,0,0,0,0,9.8,0,0,0
