stage,blastomeres,epidermis,eye,fin_epithelia,glial,immune,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,visceral_smooth_muscle
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,15.73,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,6.57,0,0,0,0.82,0,0
 36-46,0,0,4.03,0,0,0,0,0,0,9.67,0,0.81,0,0.81,0,0
 48-58,0,0.57,4.59,0,0.57,0,0,2.3,0,2.87,0,0,0,0.57,0,0
 60-70,0,0,11.78,0.98,0.98,0.98,0,0.98,0,4.91,0,0,0,1.96,0,0
 72-82,0,0.98,3.93,0,0.98,0,0,0.98,0,2.94,0,0,0,0,0,0
 84-94,0,0,2.12,0,2.12,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,1.09,0,0,2.19,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,1.53,0.77,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0.77
120,0,0,1.96,0,0,0,0,0,0,3.92,0,1.96,0,0,1.96,0
