stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,39.53,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,674.26,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,13.14,10.51,0,0,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0,0,247.1,7.89,0,0,78.86,0,0,0,0,0,0
 10-12,0,3.15,0,0,6.29,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,25.18,0,0,3.15,0,0,0
 14-21,0,0,1,6,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,15,0,0,0,0,7,3,0,3,6,0
 24-34,0,0,0.82,2.46,0,2.46,0,0,0,0,0,0,1.64,0,0,0.82,4.1,0,0.82,8.21,0,0.82,0,0,5.75,0,0.82,0.82,3.28,0
 36-46,0,0,0,0.81,0,1.61,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0.81,4.03,0,0,0,0,8.06,0,0,0,0,0
 48-58,0,0,0,1.15,0,3.44,0,0,0,0,0,0,0,0,0,0,1.72,0.57,1.72,4.02,0,0,0.57,0,7.46,0,0,0,0,0
 60-70,0,0,0,0,0,8.83,0,0,0.98,0,0,0,0,0,0,0,2.94,0,0,3.93,0,0,0,0,6.87,0,0,0,0.98,0
 72-82,0,0,0,1.96,0,1.96,0,0,0,0.98,0,0.98,0,0.98,0.98,0,0.98,0,0.98,0.98,0,0.98,0,0,7.85,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,5.31,2.12,0,0,0,0,0,1.06,0,0,0,3.19,0,0,0,0,0,0,0,23.36,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,2.19,0,0,1.09,1.09,1.09,0,0,1.09,0,0,2.19,0,0,0,0,17.49,0,0,0,1.09,0
108-118,0,0,0,3.06,0,1.53,0.77,0,0,0,0,0,0.77,0,0,0.77,2.3,0.77,0,1.53,0,0,0.77,0,29.11,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.64,0,1.96,0,0,0
