stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0
 24-34,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0,0.82,16.42,0,0,12.31,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,33.84,0.81,0,12.09,0,0,0
 48-58,0,0,0,6.89,0,1.15,0,0,0,0,1.72,0,0,44.18,1.15,0,12.62,0,0.57,0
 60-70,0,0,0,29.45,0,2.94,0,0,0,0,1.96,0,0,54.97,0,0,3.93,0,0,0
 72-82,0,0,0,35.34,0,2.94,0.98,0,0.98,0,4.91,0,0.98,33.38,0.98,0,3.93,0,0,0
 84-94,1.06,0,0,29.74,2.12,2.12,0,0,0,0,4.25,0,1.06,23.36,0,0,3.19,0,1.06,1.06
 96-106,0,0,1.09,30.6,0,4.37,0,0,1.09,1.09,3.28,0,1.09,28.41,0,1.09,2.19,1.09,1.09,0
108-118,0,0.77,0,18.38,0,1.53,0,0.77,1.53,0,2.3,0.77,0,26.81,0,0.77,1.53,0.77,0.77,0
120,0,0,0,7.84,0,0,0,0,0,0,0,0,0,17.64,0,0,0,0,0,0
