stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,21.03,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,9.44,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,19,1,1,0,1,0,0,5,0,0,1,10,0,0,0,0
 24-34,0,0.82,0.82,1.64,0,11.49,0,0,0,4.1,0,0,0,0,0.82,0,1.64,0.82,0,5.75,0,0,2.46,85.37,0,0,0,0,1.64,0,0,0.82,0,0,21.34,0,1.64,0,0
 36-46,0,0,0,2.42,0,35.45,0,0,0,4.83,0,0,0,0,0,0,0,0,0,10.47,0,0.81,0.81,124.88,0,1.61,0.81,0,2.42,0,0,4.83,0,0,20.95,0,1.61,0,0
 48-58,0,0,0,0.57,0,227.8,0,0,0,6.31,0,0.57,0,0.57,0,0,0,0,0,9.18,0.57,0,1.15,84.35,0,0.57,0,0,1.15,0,0,2.3,0,0,17.79,0,1.72,0,1.72
 60-70,0,0,0,0.98,0.98,860.79,0,1.96,0,3.93,0,0,0,0,0,0,0,0,0,14.72,0,0.98,2.94,80.48,0.98,2.94,0,0,2.94,0,0,3.93,0,0,14.72,0,0.98,0,1.96
 72-82,0,0,0,10.8,5.89,1196.65,0,0.98,0.98,16.69,0,0,0,0,0.98,0.98,0,0,0,25.52,0.98,0,4.91,72.64,0,1.96,0.98,0,1.96,0,0,2.94,0,0,3.93,1.96,0.98,0.98,1.96
 84-94,0,0,0,15.93,3.19,1243.65,0,1.06,1.06,13.81,1.06,1.06,0,3.19,1.06,2.12,0,0,0,18.05,0,3.19,2.12,41.42,0,1.06,2.12,0,8.5,0,0,3.19,0,0,3.19,0,3.19,1.06,1.06
 96-106,0,0,0,5.46,3.28,809.8,1.09,0,1.09,5.46,1.09,0,0,2.19,0,2.19,1.09,1.09,1.09,14.21,1.09,0,1.09,36.06,0,1.09,3.28,0,1.09,0,0,1.09,1.09,0,0,0,2.19,0,1.09
108-118,0,0.77,0,6.89,3.83,548.43,0,1.53,0,9.96,0,0,0,1.53,0.77,1.53,0,0.77,0,5.36,0,0,0,42.89,1.53,3.06,1.53,0,1.53,0,0,2.3,0,0,0.77,0,1.53,0.77,0
120,0,0,0,7.84,1.96,527.18,0,0,0,3.92,1.96,0,0,0,0,0,0,1.96,1.96,1.96,0,0,0,31.36,1.96,3.92,0,0,3.92,0,0,3.92,0,0,1.96,1.96,0,0,1.96
