stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.66,10.51,0,0,97.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,12.59,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,176.23,18.88,0,0,182.52,0,0,0,0,18.88,0,3.15,0,0,0,0,0
 14-21,0,0,3,15,8,15,0,0,0,15,1,0,0,0,0,0,0,0,0,21,0,0,20,326,7,0,1,14,0,1,1,129,0,5,82,107,0,0,0,0
 24-34,0,0,0.82,7.39,0,40.22,0,0,1.64,14.78,0,0,1.64,0.82,0.82,0,0.82,0,0.82,84.55,1.64,0,34.48,720.71,5.75,4.93,2.46,0,0,1.64,0,0.82,0.82,0,26.27,184.69,0,9.03,0,0
 36-46,0,0,0,4.03,0,39.48,0,1.61,1.61,48.34,0,0,0.81,2.42,0,0,0,0,0.81,136.96,0.81,3.22,37.06,463.26,4.03,4.03,0,0,0,0.81,0,0,0,0.81,0,166.77,0,6.45,0,0
 48-58,0,0,0,1.15,0,54.51,1.15,1.15,3.44,59.68,0,0,0.57,0,0,0,0,0.57,0.57,190.5,1.15,1.72,13.2,153.78,2.3,1.15,0.57,0,0,0.57,0,0,0,0,0,72.87,0.57,4.02,0,0.57
 60-70,0,0,0,3.93,0.98,52.02,0.98,3.93,0.98,93.24,0,0,1.96,0.98,0.98,0,0.98,0,0,357.27,0.98,0.98,13.74,111.89,1.96,0.98,1.96,0,1.96,0,0,0,0,0,0,53,2.94,0,0.98,0.98
 72-82,0,0,0.98,1.96,0.98,43.19,0.98,0.98,6.87,87.37,0,0,2.94,2.94,0,0,0.98,0.98,0.98,417.21,2.94,2.94,15.71,88.35,1.96,0.98,0,0,0.98,1.96,0,0,0,0,0,19.63,16.69,8.83,4.91,0
 84-94,0,0,0,4.25,3.19,52.04,0,1.06,1.06,66.91,2.12,0,3.19,9.56,2.12,0,1.06,0,0,340.91,2.12,6.37,4.25,73.28,1.06,1.06,3.19,0,0,5.31,0,0,0,0,0,18.05,9.56,10.62,7.43,0
 96-106,0,0,0,6.56,0,26.23,0,0,1.09,66.66,1.09,0,0,4.37,0,1.09,1.09,0,0,246.98,4.37,4.37,10.93,69.94,3.28,4.37,3.28,0,0,3.28,0,0,1.09,0,0,15.3,14.21,6.56,5.46,0
108-118,0,0,0,2.3,1.53,22.21,1.53,1.53,4.6,49.79,0.77,0,2.3,7.66,0,1.53,0.77,0,0.77,166.21,3.06,1.53,4.6,58.21,1.53,1.53,1.53,0,0.77,1.53,0,0,0,0,0,7.66,6.89,4.6,6.13,0
120,0,0,0,11.76,0,11.76,1.96,3.92,0,64.67,0,0,0,15.68,3.92,0,1.96,0,0,133.27,0,1.96,5.88,58.79,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96,3.92,11.76,3.92,0
