stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,1330.13,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,31.54,0,47.32,0,0,0,86.75,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,699.24,21.03,0,0,276.01,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,22.03,0,6.29,0,59.79,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,424.84,9.44,0,0,182.52,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,2,43,10,0,22,0,0,0,13,0,0,0,0,0,0,1,0,0,37,0,0,17,455,6,4,4,8,14,0,36,1,24,131,0,0,2,0,0
 24-34,0,0,0,0.82,13.13,1.64,0,114.92,0,0.82,0,14.78,1.64,0,0.82,1.64,2.46,0.82,0,0.82,0,90.29,0,0,26.27,843.84,2.46,28.73,8.21,0,30.37,0,0,4.1,2.46,189.62,0,0,12.31,0,0.82
 36-46,0,0,0,0,5.64,1.61,0,329.52,0.81,0,0.81,23.36,0.81,0,1.61,2.42,1.61,1.61,1.61,0.81,0,80.57,1.61,1.61,29.81,746.86,2.42,25.78,3.22,0,13.7,0,0.81,2.42,0,199.81,0,0,6.45,0,0
 48-58,0,0,0,0,12.62,1.15,0,343.14,0,0,1.15,20.66,0,0,0.57,3.44,0,1.15,0.57,0.57,0,89.51,0,6.31,14.35,281.74,0.57,7.46,1.72,0,4.02,0,0,0,0,49.92,0,0.57,4.59,0.57,0.57
 60-70,0,0,0,0,12.76,0,0,275.81,0,0,0,23.56,0,0,0,3.93,0,0,0,0,0,79.5,0,3.93,13.74,171.77,1.96,12.76,0.98,0,1.96,0,0,0,0,11.78,0,0,4.91,0.98,0
 72-82,0,0,0,0,10.8,0.98,0.98,85.4,0,0,0,21.6,0.98,0,2.94,2.94,0.98,0.98,0.98,0.98,0.98,63.81,0.98,4.91,7.85,115.84,0,13.74,4.91,0,2.94,0,0,0,0,4.91,0.98,0,7.85,0,0
 84-94,0,0,1.06,1.06,12.74,0,1.06,76.47,0,1.06,1.06,16.99,3.19,0,0,5.31,0,2.12,0,0,0,53.1,0,7.43,8.5,90.27,0,10.62,4.25,0,5.31,0,0,1.06,0,1.06,1.06,2.12,14.87,0,0
 96-106,0,0,0,0,14.21,1.09,0,51.36,0,1.09,2.19,20.76,5.46,0,1.09,4.37,0,0,0,0,0,33.88,0,2.19,5.46,65.57,2.19,18.58,2.19,0,0,0,0,0,0,2.19,0,0,3.28,0,0
108-118,0,0,0,0,14.55,3.06,0,58.98,0,0,0.77,16.85,2.3,0,0,5.36,0.77,0.77,0.77,0.77,1.53,23.74,0,3.06,4.6,86.55,0.77,12.26,0.77,0,3.83,0,0,0.77,0,0.77,1.53,0,3.83,0,0
120,0,0,0,0,19.6,5.88,0,62.71,0,3.92,1.96,25.48,1.96,0,0,7.84,1.96,0,0,0,0,31.36,0,1.96,9.8,117.59,0,9.8,3.92,0,0,0,0,0,0,0,0,0,5.88,0,0
